ID,Source,Tubes,MassFlowCoefficient,DistanceFactor,Radius,Location
ID1,a-line,5,0.005,1.25,0.063,./IDs/ID1
ID2,a-line,5,0.005,1.5,0.063,./IDs/ID2
ID3,a-line,5,0.005,1.75,0.063,./IDs/ID3
ID4,a-line,5,0.005,2,0.063,./IDs/ID4
ID5,a-line,5,0.005,2.25,0.063,./IDs/ID5
ID6,a-line,5,0.005,2.375,0.063,./IDs/ID6
ID7,a-line,5,0.005,2.5,0.063,./IDs/ID7
ID8,a-line,5,0.005,2.75,0.063,./IDs/ID8
ID9,a-line,5,0.005,3,0.063,./IDs/ID9
ID10,a-line,5,0.005,3.5,0.063,./IDs/ID10
ID11,a-line,5,0.005,4,0.063,./IDs/ID11
ID12,a-line,5,0.005,4.25,0.063,./IDs/ID12
ID13,a-line,5,0.010,1.25,0.063,./IDs/ID13
ID14,a-line,5,0.010,1.5,0.063,./IDs/ID14
ID15,a-line,5,0.010,1.75,0.063,./IDs/ID15
ID16,a-line,5,0.010,2,0.063,./IDs/ID16
ID17,a-line,5,0.010,2.25,0.063,./IDs/ID17
ID18,a-line,5,0.010,2.375,0.063,./IDs/ID18
ID19,a-line,5,0.010,2.5,0.063,./IDs/ID19
ID20,a-line,5,0.010,2.75,0.063,./IDs/ID20
ID21,a-line,5,0.010,3,0.063,./IDs/ID21
ID22,a-line,5,0.010,3.5,0.063,./IDs/ID22
ID23,a-line,5,0.010,4,0.063,./IDs/ID23
ID24,a-line,5,0.010,4.25,0.063,./IDs/ID24
ID25,a-line,5,0.015,1.25,0.063,./IDs/ID25
ID26,a-line,5,0.015,1.5,0.063,./IDs/ID26
ID27,a-line,5,0.015,1.75,0.063,./IDs/ID27
ID28,a-line,5,0.015,2,0.063,./IDs/ID28
ID29,a-line,5,0.015,2.25,0.063,./IDs/ID29
ID30,a-line,5,0.015,2.375,0.063,./IDs/ID30
ID31,a-line,5,0.015,2.5,0.063,./IDs/ID31
ID32,a-line,5,0.015,2.75,0.063,./IDs/ID32
ID33,a-line,5,0.015,3,0.063,./IDs/ID33
ID34,a-line,5,0.015,3.5,0.063,./IDs/ID34
ID35,a-line,5,0.015,4,0.063,./IDs/ID35
ID36,a-line,5,0.015,4.25,0.063,./IDs/ID36
ID37,a-line,5,0.020,1.25,0.063,./IDs/ID37
ID38,a-line,5,0.020,1.5,0.063,./IDs/ID38
ID39,a-line,5,0.020,1.75,0.063,./IDs/ID39
ID40,a-line,5,0.020,2,0.063,./IDs/ID40
ID41,a-line,5,0.020,2.25,0.063,./IDs/ID41
ID42,a-line,5,0.020,2.375,0.063,./IDs/ID42
ID43,a-line,5,0.020,2.5,0.063,./IDs/ID43
ID44,a-line,5,0.020,2.75,0.063,./IDs/ID44
ID45,a-line,5,0.020,3,0.063,./IDs/ID45
ID46,a-line,5,0.020,3.5,0.063,./IDs/ID46
ID47,a-line,5,0.020,4,0.063,./IDs/ID47
ID48,a-line,5,0.020,4.25,0.063,./IDs/ID48
ID49,a-line,5,0.025,1.25,0.063,./IDs/ID49
ID50,a-line,5,0.025,1.5,0.063,./IDs/ID50
ID51,a-line,5,0.025,1.75,0.063,./IDs/ID51
ID52,a-line,5,0.025,2,0.063,./IDs/ID52
ID53,a-line,5,0.025,2.25,0.063,./IDs/ID53
ID54,a-line,5,0.025,2.375,0.063,./IDs/ID54
ID55,a-line,5,0.025,2.5,0.063,./IDs/ID55
ID56,a-line,5,0.025,2.75,0.063,./IDs/ID56
ID57,a-line,5,0.025,3,0.063,./IDs/ID57
ID58,a-line,5,0.025,3.5,0.063,./IDs/ID58
