Mesh,Massflow,Case,Valid,BaseSize,Cells,MassFlowPerTube,Tubes,PressureDrop(Pa),OutletTemperature(K),HeatTransferBalance_Inlet/Outlet(W),HeatTransferPerAreaMean(W/m2),HeatTransferPerAreaSTD(W/m2),HeatTransferPerAreaVAR(W/m2),HeatTransferMean(W),HeatTransferSTD(W),HeatTransferVAR(W)
1,mflow005,styleA,1,0.1,13543,0.005,5,0.06957295764004812,1469.7736417399706,-55662.755041014134,24393.797420452924,1219.2249449560684,1486509.466403128,11132.039817595383,556.3878580170652,309567.44854881795
2,mflow005,styleA,1,0.075,15125,0.005,5,0.0723786669987021,1466.1101425335519,-55069.65660874318,24134.005017403575,1210.5151053282561,1465346.8202278789,11013.484289761547,552.4130061332442,305160.12934516766
3,mflow005,styleA,1,0.05,18289,0.005,5,0.06495775037910789,1467.0331720384868,-54178.87764207263,23743.925802213173,1274.8626656304602,1625274.8162184027,10835.472752532418,581.778015799233,338465.6596672926
4,mflow005,styleA,1,0.025,28469,0.005,5,0.06571475329110399,1463.506201557765,-53023.47413685721,23237.444869134597,1364.034226083341,1860589.3699267793,10604.34354934638,622.4731424253864,387472.81304093543
5,mflow005,styleA,1,0.01,61962,0.005,5,0.06432747177314013,1464.466122297308,-52022.156657910025,22753.50508479187,1469.9552457619584,2160768.4245430995,10403.982737201817,672.1346262461093,451764.955798997
6,mflow005,styleA,1,0.0075,82965,0.005,5,0.06538978156459052,1463.8312068322803,-51837.968497509115,22641.47587044544,1434.7220291035537,2058427.3007950182,10367.255646648067,656.9417998734673,431572.5284209907
7,mflow005,styleA,1,0.005,124302,0.005,5,0.06531572612584569,1464.0796219914014,-51622.48738069282,22526.307469463845,1496.618114942544,2239865.7819741736,10324.167241357532,685.9239097636079,470491.60998539405
8,mflow005,styleA,1,0.0025,245568,0.005,5,0.06575641260133125,1464.2748232126364,-51356.22628954603,22397.204564130392,1537.628110721935,2364300.206882307,10270.98582086447,705.1306995820532,497209.30349307583
9,mflow005,styleA,1,0.001,615098,0.005,5,0.0666655723907752,1464.2900270766925,-51200.69176420561,22326.0907980184,1560.232962719535,2434326.8979565776,10240.0432576782,715.6135471909352,512102.74892319273
10,mflow005,styleA,1,0.00075,823618,0.005,5,0.0669380712788552,1464.2326797127523,-51165.40013054251,22310.14219434373,1575.7301119588908,2482925.3857339784,10232.86952953707,722.7314155588913,522340.69903575885
11,mflow005,styleA,1,0.0005,1241397,0.005,5,0.06737948418594897,1464.0997186742013,-51133.18957943479,22296.153395219026,1561.0546477844882,2436891.6133695524,10226.553178475337,716.0072900062377,512666.4393420766
12,mflow005,styleA,-1,0.00025,2489252,0.005,5,,,,,,,,,
13,mflow005,styleA,1,0.0001,2532460,0.005,5,0.06749408140603919,1463.835634458575,-51175.27035940109,22313.02236061391,1555.5956010606528,2419877.6740392535,10234.367158573343,713.5087427518818,509094.7259833709
1,mflow035,styleA,1,0.1,13543,0.035,5,2.676875037694117,1620.5573030205937,-82391.94994241156,34198.453129838,1798.7678437089817,3235565.75556146,15606.366459251021,820.8598925334619,673810.9631700467
2,mflow035,styleA,1,0.075,15125,0.035,5,2.8130033903144067,1615.749902170295,-86313.49060464586,34235.680919771294,1811.973992711451,3283249.7502626777,15623.355247565793,826.8863106163473,683740.9706847144
3,mflow035,styleA,1,0.05,18289,0.035,5,2.360875620346633,1621.8001289728609,-79388.34009949968,33642.17901809219,1797.4494813454555,3230824.6379890474,15352.512357732132,820.2583919120528,672823.8295021468
4,mflow035,styleA,1,0.025,28469,0.035,5,2.149767980139586,1625.813288732407,-74447.99050008762,32713.671852270618,1753.8223360316522,3075892.786363521,14928.793467755273,800.3518780850603,640563.1287542832
5,mflow035,styleA,1,0.01,61962,0.035,5,1.921241895208368,1627.6032256508322,-73511.7629262887,32088.56806770093,1846.0673557567713,3407964.6819907976,14672.416702509585,844.1114963324358,712524.2182405838
6,mflow035,styleA,1,0.0075,82965,0.035,5,1.9480974137841258,1626.9655449857498,-73486.93997461488,32018.984365200507,1799.8025851775635,3239289.345611841,14661.102409964145,824.1077722314341,679153.6202522572
7,mflow035,styleA,1,0.005,124302,0.035,5,1.9294089100585552,1628.1824848918575,-72882.55145828903,31792.35638723145,1819.6858487422169,3311256.588112682,14570.945763812028,833.9909889821757,695540.9697034676
8,mflow035,styleA,1,0.0025,245568,0.035,5,1.9118680129467975,1628.0544142551569,-72567.60940805991,31674.410687379375,1846.0567685378521,3407925.592664417,14525.358382238937,846.5709566509619,716682.3846449248
9,mflow035,styleA,1,0.001,615098,0.035,5,1.9571277076465776,1625.9764114228515,-72615.84519704228,31364.570519411023,1777.552790510279,3159693.9230508795,14385.615546532059,815.2890549958328,664696.243195998
10,mflow035,styleA,1,0.00075,823618,0.035,5,1.9045639809482964,1628.6116834079016,-72354.23503278976,31540.33366739545,1863.64475724452,3473171.7812049855,14466.430403045533,854.7876335420184,730661.8984563639
11,mflow035,styleA,-1,0.0005,1241397,0.035,5,1.638632508664159,1099.8561306663462,-265923.0248901036,22539.986598278225,1272.5180461244868,1619302.1777124815,10338.391896731446,583.6645110296056,340664.2614354286
12,mflow035,styleA,-1,0.00025,2489252,0.035,5,,,,,,,,,
13,mflow035,styleA,-1,0.0001,2532460,0.035,5,-1.1632647278822671E8,1099.9849926209426,-713139.0069329692,24422.171702541626,808.6047637942188,653841.6640307044,11201.77571527582,370.8846746574825,137555.44189578664
