ID	Valid	Case	MassFlowPerTube	InnerRadius(m)	PressureDrop(Pa)	OutletTemperature(K)	HeatTransferBalance_Inlet/Outlet(W)	HeatTransferPerAreaMean(W/m2)	HeatTransferPerAreaSTD(W/m2)	HeatTransferPerAreaVAR(W/m2)	HeatTransferMean(W)	HeatTransferSTD(W)	HeatTransferVAR(W)	Continuity	SolvingStatus
1	1	Source	0.005	0.063	0.05382051215565298	1126.4526350094147	-49007.2413907739	21368.719760324624	1612.899505144021	2601444.8136938284	9801.072508452231	739.7796955582824	547273.997960305	3.306931e-05	converged
2	1	a-line	0.005	0.063	0.05345663530169986	1122.6821111785903	-49494.564866192515	21581.3447255984	1477.1113780923672	2181858.0232899324	9898.596025309087	677.4985063271392	459004.2260755048	3.410823e-05	converged
3	1	a-line	0.005	0.063	0.05313211689644959	1120.0127088463423	-49786.18814499918	21711.826728434335	1465.9321761733272	2148957.145140267	9958.466167571218	672.372535161109	452084.8260389768	3.387052e-05	converged
4	1	a-line	0.005	0.063	0.05272270743444096	1117.8914102226138	-50050.496644059414	21828.428614370125	1506.6273491952659	2269925.9693431533	10011.947431524284	691.0380076149605	477533.5279684543	2.950399e-05	converged
5	1	a-line	0.005	0.063	0.052369097829796374	1116.1451369866336	-50305.679131253986	21935.274129797934	1579.6358405035842	2495249.3886034647	10060.930867655314	724.5228344690661	524933.3376670897	3.203335e-05	converged
6	1	a-line	0.005	0.063	0.05216536899388302	1115.3374939208938	-50412.50036259108	21981.884299183115	1619.8445739707288	2623896.443822412	10082.309296260266	742.9651518659275	551997.2168871607	3.172142e-05	converged
7	1	a-line	0.005	0.063	0.05189020455873106	1114.6116694744708	-50497.69794376293	22019.052455508914	1669.742535013622	2788040.133233717	10099.357008956234	765.8515736867311	586528.6329184424	3.187422e-05	converged
8	1	a-line	0.005	0.063	0.051551284865126945	1113.217610610024	-50664.07427493617	22091.65002757317	1774.6795052716275	3149487.3464311487	10132.654935819428	813.9824334598858	662567.4019812774	3.210684e-05	converged
9	-1	a-line	0.005	0.063	0.053122813722753924	1106.946484692595	-43401.83405397931	21253.483342229756	2134.1540544935037	4554613.528311062	9748.083118515038	978.8471275640896	958141.6991404691	5.576715e-03	converged
10	1	a-line	0.005	0.063	0.05086383310845122	1109.2336139888116	-51064.41583317847	22270.941539591342	2204.862069347551	4861416.744847565	10214.91284984891	1011.2941944679008	1022715.9477644803	3.654347e-05	converged
11	1	a-line	0.005	0.063	0.05117459860048257	1107.2312137700153	-51299.40206833293	22368.85219979706	2397.807885463006	5749482.655588574	10259.797723030822	1099.7892812650327	1209536.4631854573	3.711937e-05	converged
12	1	a-line	0.005	0.063	0.052427276692469604	1108.0732743506994	-51227.964921822444	22337.699866581243	2285.247968732359	5222358.278595373	10245.509254648981	1048.1620467935195	1098643.67633838	3.788457e-05	converged
13	1	a-line	0.010	0.063	0.18085882820014376	1163.7428821736814	-61872.223397714006	26976.037625339504	1682.5778256060878	2831068.1392213106	12372.949981195856	771.7386654346096	595580.5677267923	4.644802e-05	converged
14	1	a-line	0.010	0.063	0.17893807316431776	1158.7597692020884	-62616.551598078004	27301.21046826999	1420.699379224446	2018386.7261287263	12522.095210628768	651.6243268043304	424614.26328319684	1.701315e-04	converged
15	1	a-line	0.010	0.063	0.17683550728543196	1155.4580963560027	-63101.19075767472	27512.45675197323	1322.0807544415431	1747897.5212647198	12618.967909647683	606.3905802619456	367709.53583041904	5.024823e-05	converged
16	1	a-line	0.010	0.063	0.17517730973486323	1153.055031594638	-63083.27448883424	27645.63926083741	1323.9734810042548	1752905.778402524	12680.101343079425	607.2609772661481	368765.89451023727	2.031349e-04	converged
17	1	a-line	0.010	0.063	0.17238387874385808	1150.5926627374306	-63798.7206313082	27816.801628598587	1316.3458716497535	1732766.453809349	12758.578556555754	603.7610806331735	364527.4424873374	4.194795e-05	converged
18	1	a-line	0.010	0.063	0.17131049020099454	1149.630655229912	-63943.872499115256	27880.167712332564	1335.723538636201	1784157.3716668147	12787.642327723104	612.6489279777486	375338.70895228453	4.305776e-05	converged
19	1	a-line	0.010	0.063	0.1702652364911046	1148.7766217475778	-64062.28323083727	27931.854043040123	1367.5531101259837	1870201.509015251	12811.349011167064	627.2480214931004	393440.080467009	4.135131e-05	converged
20	1	a-line	0.010	0.063	0.16805827067582868	1147.2124366403216	-64280.988598937765	28027.356978920277	1453.389718935479	2112341.675107351	12855.15281456896	666.618224119069	444379.85672766145	4.035908e-05	converged
21	1	a-line	0.010	0.063	0.20328773083264218	1134.9773952686232	-45251.33599932313	26027.186777739837	2172.403870310187	4719338.57573868	11937.581052719639	996.3907170438142	992794.4610110862	1.559411e-02	converged
22	1	a-line	0.010	0.063	0.1639845543395495	1143.236352587688	-64515.29435784115	28240.432435591858	1923.1297798091514	3698428.1499887947	12952.91246033734	882.0733090595695	778053.3225552989	1.536134e-04	converged
23	1	a-line	0.010	0.063	0.1607636196858948	1141.4572102932348	-65002.73642808161	28342.57660509675	2161.508967071575	4672121.014730828	12999.732857121586	991.4073632652758	982888.5599366066	4.130612e-05	converged
24	1	a-line	0.010	0.063	0.16417703265324235	1142.7631225787763	-64842.48998981697	28272.702602278576	2089.987133902622	4368046.2198784975	12967.684134701238	958.602839611605	918919.4041114325	4.436731e-05	converged
25	1	a-line	0.015	0.063	0.3747799264965579	1201.3610913940406	-73685.43027624086	32126.724744677	1764.8692849024067	3114763.5927919326	14735.387155308097	809.482833940535	655262.4584443998	1.055023e-03	converged
26	1	a-line	0.015	0.063	0.36984453321201727	1195.8534649880687	-74673.9204931108	32557.24620036815	1415.5384368323043	2003749.0661496436	14932.852050304185	649.2571859009598	421534.8934440335	9.499450e-04	converged
27	1	a-line	0.015	0.063	0.36674229125492275	1192.8296710168322	-73925.72614578299	32752.220994634146	1292.613974967367	1670850.888280937	15022.314279098884	592.8774533090847	351503.6746422659	4.901424e-03	converged
28	1	a-line	0.015	0.063	0.360655462674913	1189.8368793168684	-74461.3562418685	32979.054897431844	1198.8531379654526	1437248.8464096123	15126.355167731745	549.8725908069368	302359.866120733	4.127686e-03	converged
29	1	a-line	0.015	0.063	0.3519561023276765	1186.9664011591617	-76219.3342082993	33232.50464697958	1100.4457313233634	1210980.807587812	15242.569107358378	504.7353573489547	254757.780958177	6.430062e-04	converged
30	1	a-line	0.015	0.063	0.34976178804936353	1185.9314417570965	-76404.62896705011	33312.177685251	1089.4770459890785	1186960.2337370885	15279.112299174516	499.70441111120067	249704.49848399186	6.743854e-04	converged
31	1	a-line	0.015	0.063	0.34718860394787043	1185.0248519618333	-76565.08841228813	33379.168212521836	1099.4196355758304	1208723.5350896916	15309.838473813212	504.2647236874598	254282.9115555902	6.707576e-04	converged
32	1	a-line	0.015	0.063	0.3416990533587523	1183.3890690914895	-76845.41449853545	33499.17269637902	1145.8995580045296	1313085.797034976	15364.880266714978	525.5834126412418	276237.9236436138	5.127101e-04	converged
33	-3	a-line	0.015	0.063	0.45206821503380945	1159.201758957304	-50288.45459292078	30258.57361827719	2009.5073171811305	4038119.657804505	13878.341066682933	921.6768872607048	849488.284510582	1.810169e-02	converged
34	1	a-line	0.015	0.063	0.3390076695359312	1179.7714097599262	-76382.23846124843	33728.170449425685	1617.1857453032842	2615289.7348121386	15469.948637477075	741.7473311994557	550189.1033415152	5.228157e-04	converged
35	1	a-line	0.015	0.063	0.32042448698484804	1178.0627272568443	-77624.5269000852	33844.801190427985	1845.2254599849568	3404856.998176696	15523.407776512298	846.3393563396031	716290.3060893337	5.414970e-05	converged
36	1	a-line	0.015	0.063	0.3277990312635666	1179.4759244699012	-77390.08703675657	33742.47260837958	1810.0730166467838	3276364.3255927884	15476.47329173302	830.2161795713688	689258.9048220792	5.333794e-05	converged
37	1	a-line	0.020	0.063	0.6289390689926222	1236.360321025835	-84217.98534619209	36716.24292694094	1863.714739758928	3473432.6311946893	16840.436076710837	854.8197320348456	730716.7742761252	1.190034e-03	converged
38	1	a-line	0.020	0.063	0.6194586849887855	1230.6074531243949	-85439.59479601007	37249.22391593176	1459.8285572644393	2131099.416604774	17084.89551917237	669.5714904841211	448325.98086912755	1.182486e-03	converged
39	1	a-line	0.020	0.063	0.6164510719681857	1227.372982448364	-82905.45201324741	37425.61197130324	1296.76869200358	1681609.0405606758	17165.8375538145	594.7830787342709	353766.91074861796	6.270870e-03	converged
40	1	a-line	0.020	0.063	0.6057685606210725	1224.3667334423842	-83450.79701415887	37692.43133682576	1164.8618658036773	1356903.1664036245	17288.218395262964	534.2819664873145	285457.2197135519	7.774589e-03	converged
41	1	a-line	0.020	0.063	0.5878371533763129	1221.3574207179672	-87353.09605715486	38083.38509941279	985.2567529427029	970730.8692191982	17467.49561570289	451.90226571098384	204215.65775472065	1.056771e-03	converged
42	1	a-line	0.020	0.063	0.5819007309764856	1220.2768411829074	-87585.07953164195	38183.34128439445	946.9661240276226	896744.8400558988	17513.341966240587	434.33971472054606	188650.9877835253	9.065775e-04	converged
43	1	a-line	0.020	0.063	0.577793018790544	1219.3362327721086	-87777.31029285243	38264.71895115907	924.7491825727865	855161.0506690367	17550.66701057991	424.14959305873293	179902.87729188876	1.028400e-03	converged
44	1	a-line	0.020	0.063	0.5679641155293211	1217.6408392793564	-88112.10152448062	38410.98838213939	916.9068880495881	840718.24135278	17617.755601515055	420.55261120316857	176864.49878980345	1.012116e-03	converged
