"Design Study: WallTemperature","Design Study: TotalHeatFlux (W)","Design Study 2: WallTemperature","Design Study 2: TotalHeatFlux (W)","Design Study 3: WallTemperature","Design Study 3: TotalHeatFlux (W)","Design Study 4: WallTemperature","Design Study 4: TotalHeatFlux (W)","Design Study 5: WallTemperature","Design Study 5: TotalHeatFlux (W)","Design Study 6: WallTemperature","Design Study 6: TotalHeatFlux (W)","Design Study 7: WallTemperature","Design Study 7: TotalHeatFlux (W)","Design Study 8: WallTemperature","Design Study 8: TotalHeatFlux (W)","Design Study 9: WallTemperature","Design Study 9: TotalHeatFlux (W)","Design Study 10: WallTemperature","Design Study 10: TotalHeatFlux (W)","Design Study 11: WallTemperature","Design Study 11: TotalHeatFlux (W)"
500.0,11088.512573175436,500.0,15106.205567403542,500.0,21804.831870883223,500.0,28187.772079254653,500.0,33372.824212754946,500.0,1579.5411133162258,500.0,6.518959462570293E-14,500.0,-7.45023938579462E-14,500.0,41288.532775054344,500.0,20121.246954129863,500.0,1062.6510290107187
550.0,10293.136605877611,550.0,13043.834724186698,550.0,18699.519580274802,550.0,-5627.835872167234,550.0,-109225.98219079786,550.0,-616438.2248587632,550.0,-699302.2692929389,550.0,-646382.2981790619,550.0,39646.418781775574,550.0,19917.973529724855,550.0,-434679.7369364486
600.0,9421.1135815554,600.0,10924.565583506674,600.0,15518.315706234367,600.0,19878.15798496148,600.0,-152951.64265778745,600.0,-589378.6846879056,600.0,-1179078.3312657007,600.0,-1292664.362252135,600.0,37984.72211346397,600.0,19467.491512459746,600.0,-439033.0018151998
650.0,8455.781893477493,650.0,8724.940669510004,650.0,12251.718190740334,650.0,15618.484708144428,650.0,18930.1942510837,650.0,-826783.058701213,650.0,-1059476.0453949058,650.0,-1936180.1288870357,650.0,35970.74918215221,650.0,18680.093646629834,650.0,-571238.8102109596
700.0,7130.027303506278,700.0,6280.437870597764,700.0,8654.456834437802,700.0,10927.312964523297,700.0,13141.072421251496,700.0,15887.32908391217,700.0,17290.577298008255,700.0,-2520144.414358907,700.0,33387.65201913421,700.0,17197.103981321976,700.0,15269.268969910598
750.0,4582.352026538319,750.0,2903.3133822774976,750.0,3521.252870340509,750.0,4061.0458875820214,750.0,4580.209042946597,750.0,5246.26035243516,750.0,5603.239834570546,750.0,6112.452962479794,750.0,29080.685708856072,750.0,13510.228657423735,750.0,5093.034294783744
800.0,747.340803491258,800.0,-1506.6325343972233,800.0,-3063.985031782375,800.0,-4499.459016174253,800.0,-5772.161686798769,800.0,-7199.8214823023345,800.0,-7877.119619251599,800.0,-8750.17448409233,800.0,21077.523297584787,800.0,7258.973061754458,800.0,-6891.042891132691
850.0,-2990.299760514902,850.0,-6548.192723885669,850.0,-10515.545484815473,850.0,-14088.338554527487,850.0,-17256.267803739967,850.0,-20861.256857956978,850.0,-22604.021493263557,850.0,-24897.332429023387,850.0,12851.540873694401,850.0,931.595855514302,850.0,-20074.720684825454
900.0,-6426.274555711979,900.0,-12162.891355085969,900.0,-18784.802801109625,900.0,-24652.027124450047,900.0,-29816.676714806286,900.0,-35687.63257717047,900.0,-38534.05198216735,900.0,-42294.02053967664,900.0,6623.049631140711,900.0,-3394.2268301568674,900.0,-34405.35399429711
950.0,-10078.721391547184,950.0,-18403.382332622394,950.0,-27912.577076971083,950.0,-36215.49454412791,950.0,-43470.62026133524,950.0,-51696.056139159395,950.0,-55685.13025192143,950.0,-60961.83573983681,950.0,1900.0858728982898,950.0,-6733.432382897625,950.0,-49899.83882047171
1000.0,-14096.118995469995,1000.0,-25298.869992722935,1000.0,-37901.91951570244,1000.0,-48762.24325629238,1000.0,-58190.8737248584,1000.0,-68852.43863978119,1000.0,-74021.4759743054,1000.0,-80863.25208700648,1000.0,-1991.273526573924,1000.0,-10051.408776215852,1000.0,-66525.11605892278
1050.0,-18498.82413724862,1050.0,-32805.06442227605,1050.0,-48654.47097956107,1050.0,-62157.79399360631,1050.0,-73818.80224781946,1050.0,-86975.98712783366,1050.0,-93352.67186057218,1050.0,-101795.75159282763,1050.0,-5583.536345601672,1050.0,-13566.989453559867,1050.0,-84104.92676465992
1100.0,-23240.100357104897,1100.0,-40769.05877796578,1100.0,-59922.52738825425,1100.0,-76089.3423344581,1100.0,-89993.73070377376,1100.0,-105657.87305781533,1100.0,-113248.05095650186,1100.0,-123300.71394364041,1100.0,-9173.277845312423,1100.0,-17360.97869662901,1100.0,-102240.52274459267
1150.0,-28200.645126118936,1150.0,-48920.12760992308,1150.0,-71306.22872123643,1150.0,-90068.32617479288,1150.0,-106160.21813735669,1150.0,-124273.83460645897,1150.0,-133051.69616327793,1150.0,-144681.40249519612,1150.0,-12902.460246776634,1150.0,-21380.63928386017,1150.0,-120322.28637833113
1200.0,-33195.547049740984,1200.0,-56904.87971816119,1200.0,-82330.56076661538,1200.0,-103542.86060036017,1200.0,-121708.71868910159,1200.0,-142153.51967159426,1200.0,-152064.35607436954,1200.0,-165200.6404595892,1200.0,-16852.01324017661,1200.0,-25487.019868379248,1200.0,-137692.8433514126
