"Design Study: WallTemperature","Design Study: Wall_Heat_Flux_avg (W/m^2)","Design Study 2: WallTemperature","Design Study 2: Wall_Heat_Flux_avg (W/m^2)","Design Study 3: WallTemperature","Design Study 3: Wall_Heat_Flux_avg (W/m^2)","Design Study 4: WallTemperature","Design Study 4: Wall_Heat_Flux_avg (W/m^2)","Design Study 5: WallTemperature","Design Study 5: Wall_Heat_Flux_avg (W/m^2)","Design Study 6: WallTemperature","Design Study 6: Wall_Heat_Flux_avg (W/m^2)","Design Study 7: WallTemperature","Design Study 7: Wall_Heat_Flux_avg (W/m^2)","Design Study 8: WallTemperature","Design Study 8: Wall_Heat_Flux_avg (W/m^2)","Design Study 9: WallTemperature","Design Study 9: Wall_Heat_Flux_avg (W/m^2)","Design Study 10: WallTemperature","Design Study 10: Wall_Heat_Flux_avg (W/m^2)","Design Study 11: WallTemperature","Design Study 11: Wall_Heat_Flux_avg (W/m^2)"
500.0,73923.41715450292,500.0,60424.82226961418,500.0,58146.21832235527,500.0,56375.54415850932,500.0,53396.51874040793,500.0,2005.7664930999701,500.0,7.45023938579462E-14,500.0,-7.450239385794622E-14,500.0,412885.32775054366,500.0,160969.97563303894,500.0,1416.8680386809585
550.0,68620.91070585075,550.0,52175.338896746805,550.0,49865.38554739948,550.0,-11255.67174433447,550.0,-174761.57150527663,550.0,-782778.6982333504,550.0,-799202.5934776444,550.0,-646382.298179062,550.0,396464.1878177559,550.0,159343.78823779887,550.0,-579572.9825819315
600.0,62807.42387703602,600.0,43698.2623340267,600.0,41382.175216624986,600.0,39756.315969922965,600.0,-244722.62825246,600.0,-748417.3773814677,600.0,-1347518.0928750865,600.0,-1292664.3622521353,600.0,379847.22113463987,600.0,155739.932099678,600.0,-585377.3357535998
650.0,56371.87928984997,650.0,34899.762678040024,650.0,32671.248508640896,650.0,31236.969416288863,650.0,30288.31080173393,650.0,-1049883.249144398,650.0,-1210829.7661656067,650.0,-1936180.1288870361,650.0,359707.4918215223,650.0,149440.7491730387,650.0,-761651.7469479463
700.0,47533.51535670853,700.0,25121.751482391064,700.0,23078.55155850081,700.0,21854.625929046597,700.0,21025.715874002402,700.0,20174.386138301175,700.0,19760.65976915229,700.0,-2520144.4143589074,700.0,333876.5201913423,700.0,137576.83185057584,700.0,20359.025293214134
750.0,30549.013510255463,750.0,11613.253529109992,750.0,9390.007654241359,750.0,8122.0917751640445,750.0,7328.334468714558,750.0,6661.917907854174,750.0,6403.702668080624,750.0,6112.452962479795,750.0,290806.8570885609,750.0,108081.82925938991,750.0,6790.712393044993
800.0,4982.272023275054,800.0,-6026.530137588894,800.0,-8170.626751419667,800.0,-8998.918032348507,800.0,-9235.458698878034,800.0,-9142.630453717255,800.0,-9002.422422001828,800.0,-8750.174484092331,800.0,210775.23297584796,800.0,58071.78449403568,800.0,-9188.057188176923
850.0,-19935.33173676602,850.0,-26192.770895542682,850.0,-28041.4546261746,850.0,-28176.67710905498,850.0,-27610.028485983956,850.0,-26490.484898993,850.0,-25833.167420872636,850.0,-24897.332429023394,850.0,128515.40873694407,850.0,7452.766844114418,850.0,-26766.294246433943
900.0,-42841.8303714132,900.0,-48651.56542034388,900.0,-50092.80746962567,900.0,-49304.05424890011,900.0,-47706.68274369008,900.0,-45317.62866942284,900.0,-44038.9165510484,900.0,-42294.02053967665,900.0,66230.49631140714,900.0,-27153.814641254947,900.0,-45873.80532572949
950.0,-67191.4759436479,950.0,-73613.52933048959,950.0,-74433.5388719229,950.0,-72430.98908825584,950.0,-69552.99241813642,950.0,-65645.78557353577,950.0,-63640.14885933878,950.0,-60961.835739836824,950.0,19000.85872898291,950.0,-53867.45906318101,950.0,-66533.11842729563
1000.0,-93974.12663646665,1000.0,-101195.47997089177,1000.0,-101071.78537520651,1000.0,-97524.48651258477,1000.0,-93105.39795977347,1000.0,-87431.6681140079,1000.0,-84595.97254206332,1000.0,-80863.25208700649,1000.0,-19912.73526573925,1000.0,-80411.27020972683,1000.0,-88700.1547452304
1050.0,-123325.49424832416,1050.0,-131220.25768910424,1050.0,-129745.2559454962,1050.0,-124315.58798721265,1050.0,-118110.08359651118,1050.0,-110445.69794010629,1050.0,-106688.76784065392,1050.0,-101795.75159282766,1050.0,-55835.36345601675,1050.0,-108535.91562847896,1050.0,-112139.9023528799
1100.0,-154934.00238069936,1100.0,-163076.23511186315,1100.0,-159793.40636867803,1100.0,-152178.68466891622,1100.0,-143989.96912603808,1100.0,-134168.727692464,1100.0,-129426.34395028783,1100.0,-123300.71394364044,1100.0,-91732.77845312428,1100.0,-138887.8295730321,1100.0,-136320.69699279024
1150.0,-188004.30084079294,1150.0,-195680.51043969236,1150.0,-190149.9432566305,1150.0,-180136.65234958578,1150.0,-169856.34901977074,1150.0,-157808.04394470988,1150.0,-152059.0813294605,1150.0,-144681.40249519615,1150.0,-129024.60246776641,1150.0,-171045.1142708814,1150.0,-160429.7151711082
1200.0,-221303.64699827327,1200.0,-227619.5188726448,1200.0,-219548.1620443077,1200.0,-207085.7212007204,1200.0,-194733.9499025626,1200.0,-180512.40593218326,1200.0,-173787.8355135652,1200.0,-165200.64045958922,1200.0,-168520.13240176617,1200.0,-203896.15894703404,1200.0,-183590.4578018835
1250.0,-253422.132438526,1250.0,-257478.01186906226,1250.0,-246913.84492332177,1250.0,-232182.3690917804,1250.0,-217922.66786452927,1250.0,-201698.99111391685,1250.0,-194074.46084072502,1250.0,-184370.2457987572,1250.0,-209713.77806284744,1250.0,-236269.87585901032,1250.0,-205197.74745456193
1300.0,-282900.1945398122,1300.0,-284228.3820991152,1300.0,-271699.3256055115,1300.0,-255103.2811907002,1300.0,-239204.12963028837,1300.0,-221216.35886955177,1300.0,-212788.69581722407,1300.0,-202080.80912792566,1300.0,-249937.5285511209,1300.0,-267146.0213688109,1300.0,-225088.65508126997
1350.0,-308760.660203847,1350.0,-307451.56201427866,1350.0,-293897.3676380922,1350.0,-275971.26672380365,1350.0,-258735.3530136925,1350.0,-239227.55126856643,1350.0,-230091.14878481993,1350.0,-218487.31766953395,1350.0,-290423.06817174394,1350.0,-295228.2574522698,1350.0,-243426.40554916378
1400.0,-330698.65984768054,1400.0,-327299.07942436315,1400.0,-313807.5108491836,1400.0,-295112.29468159255,1400.0,-276823.4316392958,1400.0,-256008.849769781,1400.0,-246243.34847855355,1400.0,-233833.13373241478,1400.0,-322965.959397226,1400.0,-319938.2209251703,1400.0,-260494.16671815017
1450.0,-349152.3022913919,1450.0,-344343.38996503636,1450.0,-331810.006359568,1450.0,-312872.9574367269,1450.0,-293775.5798591738,1450.0,-271827.0268775165,1450.0,-261495.1963735943,1450.0,-248348.3215603468,1450.0,-352009.48971817753,1450.0,-341073.8746076454,1450.0,-276566.8722411149
1500.0,-365123.18455296947,1500.0,-359396.9394692678,1500.0,-348261.8351207109,1500.0,-329545.6009739909,1500.0,-309845.5465847653,1500.0,-286899.1736700477,1500.0,-276049.1447602383,1500.0,-262218.5847413869,1500.0,-375501.2682367956,1500.0,-360428.043192624,1500.0,-291868.84897370817
1550.0,-379515.66744818434,1550.0,-373243.1278511675,1550.0,-363492.8161449138,1550.0,-345355.2137136205,1550.0,-325228.2149710125,1550.0,-301391.2532167505,1550.0,-290059.6948806749,1550.0,-275585.4431767102,1550.0,-395578.27313016384,1550.0,-376089.3575282504,1550.0,-306571.7169968426
1600.0,-393077.96709699975,1600.0,-386434.9859940498,1600.0,-377824.5619671241,1600.0,-360469.0096070919,1600.0,-340069.6953162018,1600.0,-315427.8854081558,1600.0,-303642.9087633948,1600.0,-288555.23720667895,1600.0,-412952.43524970196,1600.0,-391189.653194974,1600.0,-320804.3621085926
1650.0,-406271.57178166835,1650.0,-399292.810948511,1650.0,-391544.681219626,1650.0,-375012.38512694737,1650.0,-354479.21332623396,1650.0,-329102.8331149451,1650.0,-316886.22482663544,1650.0,-301208.18435319245,1650.0,-429160.1536784332,1650.0,-405455.50827770354,1650.0,-334663.66531862604
1700.0,-419098.994298565,1700.0,-411987.74804033275,1700.0,-404871.2681257716,1700.0,-389087.53070095705,1700.0,-368538.8679933599,1700.0,-342487.36159663973,1700.0,-329856.1909558563,1700.0,-313605.44120805926,1700.0,-444010.40472883405,1700.0,-419206.18680263334,1700.0,-348223.19389543246
1750.0,-431809.92255273985,1750.0,-424610.4700702833,1750.0,-417951.4938993548,1750.0,-402788.1356549513,1750.0,-382310.74269159377,1750.0,-355636.36312854424,1750.0,-342604.1916752638,1750.0,-325794.31750756456,1750.0,-459237.5361543453,1750.0,-432499.5522073437,1750.0,-361539.5532434106
1800.0,-444171.5027633129,1800.0,-437210.1697711147,1800.0,-430880.30311122956,1800.0,-416201.0576523739,1800.0,-395841.97862203105,1800.0,-368592.69915148476,1800.0,-355170.4532193807,1800.0,-337811.99070166,1800.0,-475016.7064141609,1800.0,-447358.9603322302,1800.0,-374656.81371547957
