ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
1;1.25;0.005;0.063;974
2;1.5;0.005;0.063;976
3;1.75;0.005;0.063;977
4;2;0.005;0.063;978
5;2.25;0.005;0.063;979
6;2.375;0.005;0.063;979
7;2.5;0.005;0.063;979
8;2.75;0.005;0.063;980
10;3.5;0.005;0.063;981
11;4;0.005;0.063;982
12;4.25;0.005;0.063;981
13;1.25;0.01;0.063;1014
14;1.5;0.01;0.063;1017
15;1.75;0.01;0.063;1018
16;2;0.01;0.063;1019
17;2.25;0.01;0.063;1021
18;2.375;0.01;0.063;1021
19;2.5;0.01;0.063;1021
20;2.75;0.01;0.063;1022
23;4;0.01;0.063;1024
24;4.25;0.01;0.063;1024
25;1.25;0.015;0.063;1049
26;1.5;0.015;0.063;1053
27;1.75;0.015;0.063;1054
28;2;0.015;0.063;1056
29;2.25;0.015;0.063;1057
30;2.375;0.015;0.063;1058
31;2.5;0.015;0.063;1058
32;2.75;0.015;0.063;1059
34;3.5;0.015;0.063;1061
35;4;0.015;0.063;1061
36;4.25;0.015;0.063;1061
