ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
757;1.013888889;0.005;0.08;857
758;1.216666667;0.005;0.08;867
759;1.419444444;0.005;0.08;872
760;1.622222222;0.005;0.08;875
761;1.825;0.005;0.08;877
762;1.925;0.005;0.08;878
763;2.027777778;0.005;0.08;878
764;2.230555556;0.005;0.08;880
765;2.433333333;0.005;0.08;880
766;2.838888889;0.005;0.08;881
767;3.244444444;0.005;0.08;881
768;3.447222222;0.005;0.08;881
769;1.013888889;0.01;0.08;878
770;1.216666667;0.01;0.08;905
771;1.419444444;0.01;0.08;913
772;1.622222222;0.01;0.08;918
773;1.825;0.01;0.08;922
774;1.925;0.01;0.08;924
775;2.027777778;0.01;0.08;925
776;2.230555556;0.01;0.08;927
777;2.433333333;0.01;0.08;929
778;2.838888889;0.01;0.08;929
779;3.244444444;0.01;0.08;934
780;3.447222222;0.01;0.08;934
781;1.013888889;0.015;0.08;890
782;1.216666667;0.015;0.08;934
783;1.419444444;0.015;0.08;945
784;1.622222222;0.015;0.08;937
785;1.825;0.015;0.08;957
786;1.925;0.015;0.08;959
787;2.027777778;0.015;0.08;961
788;2.230555556;0.015;0.08;964
789;2.433333333;0.015;0.08;967
790;2.838888889;0.015;0.08;962
791;3.244444444;0.015;0.08;981
792;3.447222222;0.015;0.08;976
