ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
169;1.25;0.005;0.063;900
170;1.5;0.005;0.063;909
171;1.75;0.005;0.063;913
172;2;0.005;0.063;916
173;2.25;0.005;0.063;918
174;2.375;0.005;0.063;919
175;2.5;0.005;0.063;920
176;2.75;0.005;0.063;921
177;3;0.005;0.063;922
178;3.5;0.005;0.063;923
179;4;0.005;0.063;923
180;4.25;0.005;0.063;922
181;1.25;0.01;0.063;924
182;1.5;0.01;0.063;960
183;1.75;0.01;0.063;967
184;2;0.01;0.063;972
185;2.25;0.01;0.063;975
186;2.375;0.01;0.063;977
187;2.5;0.01;0.063;979
188;2.75;0.01;0.063;982
189;3;0.01;0.063;983
190;3.5;0.01;0.063;986
191;4;0.01;0.063;978
192;4.25;0.01;0.063;988
193;1.25;0.015;0.063;974
194;1.5;0.015;0.063;964
195;1.75;0.015;0.063;979
196;2;0.015;0.063;989
197;2.25;0.015;0.063;996
198;2.375;0.015;0.063;999
199;2.5;0.015;0.063;1002
200;2.75;0.015;0.063;1006
201;3;0.015;0.063;1010
202;3.5;0.015;0.063;1045
203;4;0.015;0.063;1020
204;4.25;0.015;0.063;1020
