ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K)
253;1.25;0.005;0.063;906
254;1.5;0.005;0.063;913
255;1.75;0.005;0.063;917
256;2;0.005;0.063;919
257;2.25;0.005;0.063;920
258;2.375;0.005;0.063;920
259;2.5;0.005;0.063;921
260;2.75;0.005;0.063;921
261;3;0.005;0.063;921
262;3.5;0.005;0.063;920
263;4;0.005;0.063;919
264;4.25;0.005;0.063;915
265;1.25;0.01;0.063;956
266;1.5;0.01;0.063;967
267;1.75;0.01;0.063;973
268;2;0.01;0.063;978
269;2.25;0.01;0.063;981
270;2.375;0.01;0.063;982
271;2.5;0.01;0.063;983
272;2.75;0.01;0.063;985
273;3;0.01;0.063;986
274;3.5;0.01;0.063;987
275;4;0.01;0.063;977
276;4.25;0.01;0.063;972
277;1.25;0.015;0.063;993
278;1.5;0.015;0.063;1008
279;1.75;0.015;0.063;1016
280;2;0.015;0.063;1021
281;2.25;0.015;0.063;1026
282;2.375;0.015;0.063;1029
283;2.5;0.015;0.063;1030
284;2.75;0.015;0.063;1033
285;3;0.015;0.063;1035
286;3.5;0.015;0.063;1042
287;4;0.015;0.063;1011
288;4.25;0.015;0.063;1005
