ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);stdTubeTemps(K)
769;1.013888889;0.01;0.08;878;59.801159
770;1.216666667;0.01;0.08;905;50.847352
771;1.419444444;0.01;0.08;913;40.512326
772;1.622222222;0.01;0.08;918;34.583386
773;1.825;0.01;0.08;922;31.459413
774;1.925;0.01;0.08;924;30.652953
775;2.027777778;0.01;0.08;925;30.278927
776;2.230555556;0.01;0.08;927;30.441022
777;2.433333333;0.01;0.08;929;31.650458
778;2.838888889;0.01;0.08;929;42.745883
779;3.244444444;0.01;0.08;934;43.624082
780;3.447222222;0.01;0.08;934;48.468498
