ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
337;0.005;0.04;1108;1121;1102;8455
338;0.005;0.04;1110;1122;1104;8511
339;0.005;0.04;1112;1123;1106;8553
340;0.005;0.04;1112;1125;1106;8584
341;0.005;0.04;1113;1126;1107;8609
342;0.005;0.04;1114;1126;1107;8620
343;0.005;0.04;1114;1127;1107;8626
344;0.005;0.04;1114;1128;1107;8645
345;0.005;0.04;1115;1130;1106;8662
346;0.005;0.04;1116;1133;1105;8694
347;0.005;0.04;1117;1135;1104;8720
348;0.005;0.04;1116;1132;1104;8708
349;0.01;0.04;1164;1176;1157;10197
350;0.01;0.04;1166;1177;1160;10272
351;0.01;0.04;1168;1178;1162;10323
352;0.01;0.04;1169;1180;1164;10362
353;0.01;0.04;1170;1181;1165;10393
354;0.01;0.04;1171;1182;1165;10406
355;0.01;0.04;1171;1182;1165;10411
356;0.01;0.04;1172;1184;1165;10434
357;0.01;0.04;1172;1185;1166;10453
358;0.01;0.04;1173;1189;1165;10489
359;0.01;0.04;1174;1191;1164;10515
360;0.01;0.04;1174;1188;1163;10496
361;0.015;0.04;1214;1225;1208;11629
362;0.015;0.04;1217;1226;1212;11713
363;0.015;0.04;1218;1228;1213;11760
364;0.015;0.04;1220;1230;1215;11802
365;0.015;0.04;1222;1231;1217;11846
366;0.015;0.04;1222;1232;1217;11859
367;0.015;0.04;1222;1232;1217;11858
368;0.015;0.04;1223;1233;1218;11888
369;0.015;0.04;1224;1235;1218;11905
370;0.015;0.04;1226;1239;1219;11940
371;0.015;0.04;1226;1241;1218;11962
372;0.015;0.04;1226;1238;1217;11940
373;0.02;0.04;1259;1269;1254;12743
374;0.02;0.04;1263;1271;1258;12830
375;0.02;0.04;1264;1274;1259;12866
376;0.02;0.04;1266;1276;1261;12911
377;0.02;0.04;1269;1276;1265;12963
378;0.02;0.04;1269;1277;1265;12976
379;0.02;0.04;1269;1277;1264;12960
380;0.02;0.04;1271;1279;1266;13002
381;0.02;0.04;1271;1280;1267;13018
382;0.02;0.04;1273;1284;1267;13049
383;0.02;0.04;1274;1286;1267;13067
384;0.02;0.04;1273;1283;1266;13045
385;0.025;0.04;1300;1309;1295;13583
386;0.025;0.04;1304;1311;1300;13668
387;0.025;0.04;1306;1317;1300;13705
388;0.025;0.04;1308;1319;1303;13750
389;0.025;0.04;1311;1317;1307;13793
390;0.025;0.04;1311;1317;1308;13805
391;0.025;0.04;1310;1319;1305;13783
392;0.025;0.04;1313;1319;1309;13830
393;0.025;0.04;1313;1320;1310;13845
394;0.025;0.04;1315;1324;1310;13871
395;0.025;0.04;1316;1326;1311;13887
396;0.025;0.04;1315;1323;1309;13866
397;0.03;0.04;1336;1344;1330;14219
398;0.03;0.04;1340;1346;1336;14298
399;0.03;0.04;1342;1353;1337;14336
400;0.03;0.04;1343;1353;1338;14353
401;0.03;0.04;1347;1352;1344;14415
402;0.03;0.04;1348;1353;1345;14425
403;0.03;0.04;1348;1358;1343;14432
404;0.03;0.04;1349;1354;1347;14448
405;0.03;0.04;1350;1355;1347;14461
406;0.03;0.04;1352;1359;1348;14485
407;0.03;0.04;1353;1360;1348;14498
408;0.03;0.04;1352;1358;1347;14481
409;0.035;0.04;1367;1374;1361;14707
410;0.035;0.04;1371;1377;1367;14782
411;0.035;0.04;1371;1380;1366;14778
413;0.035;0.04;1379;1382;1376;14891
414;0.035;0.04;1379;1383;1376;14901
415;0.035;0.04;1376;1384;1372;14858
416;0.035;0.04;1381;1384;1378;14922
417;0.035;0.04;1382;1385;1379;14935
418;0.035;0.04;1383;1388;1380;14957
419;0.035;0.04;1384;1390;1381;14970
420;0.035;0.04;1383;1387;1380;14954
