ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
421;0.005;0.04;1015;1064;966;5552
422;0.005;0.04;1020;1064;986;5689
423;0.005;0.04;1023;1065;996;5780
424;0.005;0.04;1026;1068;1003;5846
425;0.005;0.04;1027;1072;1005;5894
426;0.005;0.04;1028;1075;1004;5913
427;0.005;0.04;1028;1078;1004;5930
428;0.005;0.04;1029;1084;1002;5958
429;0.005;0.04;1030;1090;1001;5981
430;0.005;0.04;1031;1106;997;6013
431;0.005;0.04;1031;1125;994;6026
432;0.005;0.04;1032;1137;991;6035
433;0.01;0.04;1090;1138;1033;7860
434;0.01;0.04;1098;1137;1059;8112
435;0.01;0.04;1103;1138;1074;8282
436;0.01;0.04;1107;1141;1084;8407
437;0.01;0.04;1110;1145;1090;8502
438;0.01;0.04;1111;1147;1092;8539
439;0.01;0.04;1112;1150;1092;8574
440;0.01;0.04;1114;1156;1092;8632
441;0.01;0.04;1116;1162;1092;8680
442;0.01;0.04;1118;1177;1091;8745
443;0.01;0.04;1120;1196;1088;8772
444;0.01;0.04;1120;1208;1086;8785
445;0.015;0.04;1146;1201;1081;9583
446;0.015;0.04;1081;1130;1042;7569
447;0.015;0.04;1090;1135;1061;7862
448;0.015;0.04;1097;1140;1069;8081
449;0.015;0.04;1103;1147;1074;8251
450;0.015;0.04;1106;1152;1076;8356
452;0.015;0.04;1179;1212;1159;10637
453;0.015;0.04;1117;1177;1083;8701
454;0.015;0.04;1185;1232;1161;10802
455;0.015;0.04;1195;1272;1164;11031
456;0.015;0.04;1189;1261;1159;10879
457;0.02;0.04;1089;1149;1029;7822
458;0.02;0.04;1104;1155;1062;8291
459;0.02;0.04;1115;1161;1083;8650
460;0.02;0.04;1123;1165;1093;8906
461;0.02;0.04;1129;1167;1098;9091
462;0.02;0.04;1132;1171;1101;9186
464;0.02;0.04;1142;1187;1109;9486
465;0.02;0.04;1148;1199;1113;9650
466;0.02;0.04;1158;1221;1121;9943
467;0.02;0.04;1162;1232;1120;10072
468;0.02;0.04;1247;1305;1215;12417
469;0.025;0.04;1105;1170;1042;8323
470;0.025;0.04;1122;1178;1077;8862
471;0.025;0.04;1134;1184;1099;9222
472;0.025;0.04;1143;1190;1112;9511
473;0.025;0.04;1149;1192;1117;9690
474;0.025;0.04;1152;1194;1120;9804
476;0.025;0.04;1163;1203;1128;10118
477;0.025;0.04;1169;1215;1132;10306
478;0.025;0.04;1182;1235;1143;10674
479;0.025;0.04;1183;1249;1134;10687
480;0.025;0.04;1184;1256;1131;10688
481;0.03;0.04;1120;1189;1054;8759
482;0.03;0.04;1138;1198;1091;9347
483;0.03;0.04;1148;1202;1112;9674
484;0.03;0.04;1159;1209;1128;10015
485;0.03;0.04;1164;1210;1132;10152
486;0.03;0.04;1167;1212;1135;10256
488;0.03;0.04;1178;1219;1143;10576
489;0.03;0.04;1181;1225;1143;10645
490;0.03;0.04;1201;1249;1158;11193
491;0.03;0.04;1200;1263;1147;11159
492;0.03;0.04;1196;1266;1141;11044
493;0.035;0.04;1133;1205;1067;9174
494;0.035;0.04;1148;1209;1101;9663
495;0.035;0.04;1159;1213;1122;9982
496;0.035;0.04;1171;1222;1140;10350
497;0.035;0.04;1176;1225;1144;10501
498;0.035;0.04;1180;1227;1147;10616
500;0.035;0.04;1187;1232;1152;10836
501;0.035;0.04;1194;1237;1156;11018
502;0.035;0.04;1214;1259;1169;11547
503;0.035;0.04;1215;1273;1159;11559
504;0.035;0.04;1210;1276;1153;11441
