ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
841;0.005;0.08;859;934;778;5321
842;0.005;0.08;868;929;797;6165
843;0.005;0.08;872;931;819;6397
844;0.005;0.08;875;929;834;6610
845;0.005;0.08;877;931;844;6756
846;0.005;0.08;878;933;847;6818
847;0.005;0.08;879;938;846;6864
848;0.005;0.08;880;941;847;6974
849;0.005;0.08;881;950;846;7058
850;0.005;0.08;882;967;844;7183
851;0.005;0.08;882;990;840;7232
852;0.005;0.08;882;1005;837;7227
853;0.01;0.08;882;964;779;7213
854;0.01;0.08;906;973;809;9148
855;0.01;0.08;905;972;839;8979
856;0.01;0.08;919;969;865;10008
857;0.01;0.08;923;970;880;10290
858;0.01;0.08;924;971;885;10415
860;0.01;0.08;928;976;895;10740
861;0.01;0.08;927;1008;884;10673
862;0.01;0.08;934;997;895;11227
863;0.01;0.08;935;1020;889;11419
864;0.01;0.08;936;1038;885;11482
865;0.015;0.08;895;979;779;8420
866;0.015;0.08;934;1011;820;11554
867;0.015;0.08;926;993;852;10714
868;0.015;0.08;936;994;878;11516
869;0.015;0.08;957;1004;908;13208
870;0.015;0.08;948;1008;905;12438
872;0.015;0.08;965;1006;930;13862
873;0.015;0.08;958;1030;915;13315
874;0.015;0.08;973;1023;935;14595
875;0.015;0.08;976;1046;927;14930
876;0.015;0.08;978;1060;923;15081
877;0.02;0.08;906;994;779;9344
878;0.02;0.08;925;1013;824;10821
879;0.02;0.08;942;1017;865;12090
880;0.02;0.08;954;1019;893;13026
881;0.02;0.08;963;1022;913;13783
882;0.02;0.08;967;1023;922;14128
883;0.02;0.08;971;1024;929;14453
884;0.02;0.08;977;1035;933;14976
885;0.02;0.08;981;1043;936;15292
886;0.02;0.08;1013;1092;970;18196
887;0.02;0.08;1019;1100;965;18829
888;0.02;0.08;994;1072;939;16626
889;0.025;0.08;913;1007;780;10040
890;0.025;0.08;935;1029;833;11724
891;0.025;0.08;954;1035;876;13150
892;0.025;0.08;967;1038;905;14166
893;0.025;0.08;977;1041;926;15011
894;0.025;0.08;982;1042;935;15414
896;0.025;0.08;993;1045;950;16439
897;0.025;0.08;997;1051;953;16763
899;0.025;0.08;1016;1078;956;18592
900;0.025;0.08;1016;1086;958;18640
901;0.03;0.08;920;1016;780;10606
902;0.03;0.08;944;1040;840;12461
903;0.03;0.08;964;1047;885;14032
904;0.03;0.08;977;1051;914;15088
905;0.03;0.08;987;1055;936;15965
906;0.03;0.08;993;1057;945;16417
908;0.03;0.08;1005;1061;963;17543
909;0.03;0.08;1009;1062;967;17926
911;0.03;0.08;1033;1089;972;20218
912;0.03;0.08;1033;1100;978;20291
913;0.035;0.08;924;1024;781;11025
914;0.035;0.08;951;1048;847;13069
915;0.035;0.08;972;1055;893;14705
916;0.035;0.08;984;1059;921;15772
917;0.035;0.08;996;1064;942;16718
918;0.035;0.08;1001;1068;952;17209
920;0.035;0.08;1013;1071;971;18242
921;0.035;0.08;1021;1077;980;19007
923;0.035;0.08;1047;1104;986;21638
924;0.035;0.08;1048;1108;992;21717
