ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferMean(W)
925;0.005;0.08;864;932;831;6050
926;0.005;0.08;871;928;841;6567
927;0.005;0.08;875;935;845;6789
928;0.005;0.08;877;944;847;6939
929;0.005;0.08;879;956;847;7049
930;0.005;0.08;879;963;846;7094
931;0.005;0.08;880;970;845;7132
932;0.005;0.08;880;987;842;7188
933;0.005;0.08;880;1005;838;7215
934;0.005;0.08;879;1041;830;7206
935;0.005;0.08;875;1076;813;7051
936;0.005;0.08;883;1088;830;7428
937;0.01;0.08;890;964;851;8330
938;0.01;0.08;911;968;880;9843
939;0.01;0.08;919;974;889;10286
940;0.01;0.08;924;982;892;10608
941;0.01;0.08;928;994;893;10870
942;0.01;0.08;929;1002;893;10992
943;0.01;0.08;930;1009;893;11099
944;0.01;0.08;932;1027;892;11272
945;0.01;0.08;934;1050;890;11418
946;0.01;0.08;934;1096;882;11526
947;0.01;0.08;924;1134;848;10847
948;0.01;0.08;921;1142;846;10434
949;0.015;0.08;906;983;866;9881
950;0.015;0.08;943;1001;910;12517
951;0.015;0.08;953;1005;923;13173
952;0.015;0.08;960;1013;929;13642
953;0.015;0.08;965;1023;932;14027
954;0.015;0.08;967;1030;932;14221
955;0.015;0.08;969;1037;932;14388
956;0.015;0.08;972;1054;933;14686
957;0.015;0.08;975;1077;931;14942
958;0.015;0.08;979;1133;925;15382
960;0.015;0.08;950;1175;863;12919
961;0.02;0.08;919;995;877;11044
962;0.02;0.08;940;1002;901;12327
963;0.02;0.08;957;1017;919;13542
964;0.02;0.08;969;1037;930;14501
965;0.02;0.08;976;1055;935;15070
966;0.02;0.08;978;1063;936;15260
967;0.02;0.08;979;1064;936;15331
968;0.02;0.08;983;1072;929;15647
969;0.02;0.08;1013;1115;966;18391
970;0.02;0.08;989;1137;915;16300
972;0.02;0.08;969;1197;872;14620
973;0.025;0.08;929;1006;887;11965
974;0.025;0.08;953;1020;910;13428
975;0.025;0.08;971;1024;931;14757
976;0.025;0.08;984;1046;945;15867
977;0.025;0.08;993;1066;952;16607
978;0.025;0.08;996;1077;954;16894
979;0.025;0.08;998;1077;952;17006
980;0.025;0.08;1003;1089;947;17536
982;0.025;0.08;1011;1151;935;18267
984;0.025;0.08;984;1215;879;15974
985;0.03;0.08;936;1017;894;12688
988;0.03;0.08;996;1053;954;16951
989;0.03;0.08;1007;1073;967;17875
991;0.03;0.08;1014;1089;969;18498
992;0.03;0.08;1020;1101;961;19074
994;0.03;0.08;1029;1165;952;19955
996;0.03;0.08;994;1227;882;16906
997;0.035;0.08;943;1023;901;13281
1000;0.035;0.08;1006;1059;961;17839
1001;0.035;0.08;1018;1078;975;18909
1002;0.035;0.08;1022;1090;984;19314
1003;0.035;0.08;1027;1096;984;19778
1004;0.035;0.08;1035;1111;977;20508
1006;0.035;0.08;1044;1176;968;21431
1008;0.035;0.08;1006;1239;887;17940
