ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
673;1.013888889;0.005;0.08;9637;1.0145
674;1.216666667;0.005;0.08;10393;1.1092
675;1.419444444;0.005;0.08;10481;1.1301
676;1.622222222;0.005;0.08;10538;1.1424
677;1.825;0.005;0.08;10597;1.1542
678;1.925;0.005;0.08;10621;1.1588
679;2.027777778;0.005;0.08;10642;1.163
680;2.230555556;0.005;0.08;10684;1.1708
681;2.433333333;0.005;0.08;10721;1.1794
682;2.838888889;0.005;0.08;10792;1.1976
683;3.244444444;0.005;0.08;10839;1.2073
684;3.447222222;0.005;0.08;10825;1.1998
685;1.013888889;0.01;0.08;11757;1.42
686;1.216666667;0.01;0.08;13378;1.7224
687;1.419444444;0.01;0.08;13518;1.7661
688;1.622222222;0.01;0.08;13595;1.7908
689;1.825;0.01;0.08;13693;1.8203
690;1.925;0.01;0.08;13726;1.8303
691;2.027777778;0.01;0.08;13756;1.839
692;2.230555556;0.01;0.08;13814;1.8553
693;2.433333333;0.01;0.08;13862;1.8686
694;2.838888889;0.01;0.08;13951;1.8917
695;3.244444444;0.01;0.08;13993;1.9016
696;3.447222222;0.01;0.08;13957;1.8934
697;1.013888889;0.015;0.08;13685;1.8251
698;1.216666667;0.015;0.08;16154;2.4753
699;1.419444444;0.015;0.08;16347;2.5376
700;1.622222222;0.015;0.08;16434;2.5665
701;1.825;0.015;0.08;16584;2.6097
702;1.925;0.015;0.08;16630;2.6234
703;2.027777778;0.015;0.08;16669;2.6351
704;2.230555556;0.015;0.08;16746;2.6581
705;2.433333333;0.015;0.08;16810;2.6776
706;2.838888889;0.015;0.08;16919;2.7159
707;3.244444444;0.015;0.08;16961;2.7362
708;3.447222222;0.015;0.08;16907;2.7211
709;1.013888889;0.02;0.08;15360;2.2758
710;1.216666667;0.02;0.08;18660;3.2623
711;1.419444444;0.02;0.08;18904;3.3622
712;1.622222222;0.02;0.08;19011;3.4041
713;1.825;0.02;0.08;19208;3.4772
714;1.925;0.02;0.08;19265;3.4981
715;2.027777778;0.02;0.08;19319;3.5173
716;2.230555556;0.02;0.08;19417;3.5524
717;2.433333333;0.02;0.08;19499;3.5811
718;2.838888889;0.02;0.08;19637;3.6283
719;3.244444444;0.02;0.08;19690;3.6452
720;3.447222222;0.02;0.08;19627;3.6236
721;1.013888889;0.025;0.08;16790;2.6934
722;1.216666667;0.025;0.08;20921;4.054
723;1.419444444;0.025;0.08;21215;4.1695
725;1.825;0.025;0.08;21586;4.3063
726;1.925;0.025;0.08;21654;4.3307
727;2.027777778;0.025;0.08;21719;4.3537
728;2.230555556;0.025;0.08;21840;4.3961
729;2.433333333;0.025;0.08;21942;4.4316
730;2.838888889;0.025;0.08;22114;4.494
731;3.244444444;0.025;0.08;22186;4.5219
732;3.447222222;0.025;0.08;22122;4.4999
733;1.013888889;0.03;0.08;17890;3.013
734;1.216666667;0.03;0.08;22981;4.8049
735;1.419444444;0.03;0.08;23315;4.9511
737;1.825;0.03;0.08;23749;5.1301
738;1.925;0.03;0.08;23827;5.1617
739;2.027777778;0.03;0.08;23904;5.1926
740;2.230555556;0.03;0.08;24045;5.2485
741;2.433333333;0.03;0.08;24165;5.2958
742;2.838888889;0.03;0.08;24373;5.3768
743;3.244444444;0.03;0.08;24470;5.4138
744;3.447222222;0.03;0.08;24411;5.3909
745;1.013888889;0.035;0.08;18762;3.2524
746;1.216666667;0.035;0.08;24857;5.543
747;1.419444444;0.035;0.08;25234;5.7023
748;1.622222222;0.035;0.08;12278;1.4796
749;1.825;0.035;0.08;25724;5.8995
750;1.925;0.035;0.08;25811;5.9341
751;2.027777778;0.035;0.08;25903;5.9699
752;2.230555556;0.035;0.08;26061;6.0318
753;2.433333333;0.035;0.08;26199;6.0854
754;2.838888889;0.035;0.08;26440;6.1786
755;3.244444444;0.035;0.08;26563;6.2256
756;3.447222222;0.035;0.08;26512;6.2063
