ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
85;1.25;0.005;0.063;5947;0.91251
86;1.5;0.005;0.063;6240;0.96194
87;1.75;0.005;0.063;6406;0.9972
88;2;0.005;0.063;6526;1.0248
89;2.25;0.005;0.063;6620;1.0485
90;2.375;0.005;0.063;6660;1.0603
91;2.5;0.005;0.063;6696;1.0716
92;2.75;0.005;0.063;6758;1.0953
93;3;0.005;0.063;6809;1.1186
94;3.5;0.005;0.063;6879;1.1634
95;4;0.005;0.063;6907;1.2085
98;1.5;0.01;0.063;9183;1.847
99;1.75;0.01;0.063;9502;1.9499
100;2;0.01;0.063;9738;2.0305
101;2.25;0.01;0.063;9929;2.099
102;2.375;0.01;0.063;10012;2.1314
103;2.5;0.01;0.063;10088;2.1629
104;2.75;0.01;0.063;10227;2.2252
105;3;0.01;0.063;10347;2.2807
106;3.5;0.01;0.063;10527;2.3645
107;4;0.01;0.063;10636;2.4359
108;4.25;0.01;0.063;10212;2.3127
110;1.5;0.015;0.063;11558;2.7874
111;1.75;0.015;0.063;12019;2.9737
112;2;0.015;0.063;12358;3.1197
113;2.25;0.015;0.063;12629;3.2388
114;2.375;0.015;0.063;12748;3.291
115;2.5;0.015;0.063;12861;3.3409
116;2.75;0.015;0.063;13065;3.4355
117;3;0.015;0.063;13245;3.5251
118;3.5;0.015;0.063;13531;3.6768
119;4;0.015;0.063;13916;3.8862
120;4.25;0.015;0.063;12843;3.4045
132;4.25;0.02;0.063;14899;4.3862
140;2.75;0.025;0.063;14449;4.135
142;3.5;0.025;0.063;15318;4.5793
143;4;0.025;0.063;15793;4.8286
144;4.25;0.025;0.063;19583;6.8226
145;1.25;0.03;0.063;10785;2.5132
146;1.5;0.03;0.063;12331;3.144
147;1.75;0.03;0.063;13285;3.5679
148;2;0.03;0.063;13880;3.8469
149;2.25;0.03;0.063;14397;4.1015
150;2.375;0.03;0.063;14675;4.2436
151;2.5;0.03;0.063;14882;4.3499
152;2.75;0.03;0.063;15348;4.5867
153;3;0.03;0.063;15795;4.8179
154;3.5;0.03;0.063;16439;5.1502
155;4;0.03;0.063;16890;5.3932
156;4.25;0.03;0.063;16979;5.4468
157;1.25;0.035;0.063;11177;2.6786
158;1.5;0.035;0.063;12846;3.3782
159;1.75;0.035;0.063;13850;3.8372
160;2;0.035;0.063;14385;4.093
161;2.25;0.035;0.063;15045;4.4261
162;2.375;0.035;0.063;15378;4.5976
163;2.5;0.035;0.063;15602;4.7128
164;2.75;0.035;0.063;16098;4.968
165;3;0.035;0.063;16506;5.1807
166;3.5;0.035;0.063;17313;5.6102
167;4;0.035;0.063;17786;5.8696
168;4.25;0.035;0.063;17976;5.9734
