ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
841;1.013888889;0.005;0.08;5321;0.47266
842;1.216666667;0.005;0.08;6165;0.52149
843;1.419444444;0.005;0.08;6397;0.54336
844;1.622222222;0.005;0.08;6610;0.56144
845;1.825;0.005;0.08;6756;0.57739
846;1.925;0.005;0.08;6818;0.58652
847;2.027777778;0.005;0.08;6864;0.5965
848;2.230555556;0.005;0.08;6974;0.61506
849;2.433333333;0.005;0.08;7058;0.63309
850;2.838888889;0.005;0.08;7183;0.67191
851;3.244444444;0.005;0.08;7232;0.71833
852;3.447222222;0.005;0.08;7227;0.74252
853;1.013888889;0.01;0.08;7213;0.7037
854;1.216666667;0.01;0.08;9148;0.94974
855;1.419444444;0.01;0.08;8979;0.91574
856;1.622222222;0.01;0.08;10008;1.0706
857;1.825;0.01;0.08;10290;1.1152
858;1.925;0.01;0.08;10415;1.1361
860;2.230555556;0.01;0.08;10740;1.2025
861;2.433333333;0.01;0.08;10673;1.2278
862;2.838888889;0.01;0.08;11227;1.3276
863;3.244444444;0.01;0.08;11419;1.4091
864;3.447222222;0.01;0.08;11482;1.453
865;1.013888889;0.015;0.08;8420;0.8836
866;1.216666667;0.015;0.08;11554;1.4076
867;1.419444444;0.015;0.08;10714;1.2155
868;1.622222222;0.015;0.08;11516;1.368
869;1.825;0.015;0.08;13208;1.7361
870;1.925;0.015;0.08;12438;1.5793
872;2.230555556;0.015;0.08;13862;1.8972
873;2.433333333;0.015;0.08;13315;1.8034
874;2.838888889;0.015;0.08;14595;2.1047
875;3.244444444;0.015;0.08;14930;2.2271
876;3.447222222;0.015;0.08;15081;2.2958
877;1.013888889;0.02;0.08;9344;1.0386
878;1.216666667;0.02;0.08;10821;1.2673
879;1.419444444;0.02;0.08;12090;1.5086
880;1.622222222;0.02;0.08;13026;1.7163
881;1.825;0.02;0.08;13783;1.9014
882;1.925;0.02;0.08;14128;1.987
883;2.027777778;0.02;0.08;14453;2.0741
884;2.230555556;0.02;0.08;14976;2.2218
885;2.433333333;0.02;0.08;15292;2.3124
886;2.838888889;0.02;0.08;18196;3.1982
887;3.244444444;0.02;0.08;18829;3.4196
888;3.447222222;0.02;0.08;16626;2.7371
889;1.013888889;0.025;0.08;10040;1.1589
890;1.216666667;0.025;0.08;11724;1.4598
891;1.419444444;0.025;0.08;13150;1.7564
892;1.622222222;0.025;0.08;14166;1.9903
893;1.825;0.025;0.08;15011;2.2117
894;1.925;0.025;0.08;15414;2.3294
896;2.230555556;0.025;0.08;16439;2.6328
897;2.433333333;0.025;0.08;16763;2.7359
899;3.244444444;0.025;0.08;18592;3.3324
900;3.447222222;0.025;0.08;18640;3.3517
901;1.013888889;0.03;0.08;10606;1.2692
902;1.216666667;0.03;0.08;12461;1.6321
903;1.419444444;0.03;0.08;14032;1.9745
904;1.622222222;0.03;0.08;15088;2.237
905;1.825;0.03;0.08;15965;2.4886
906;1.925;0.03;0.08;16417;2.6251
908;2.230555556;0.03;0.08;17543;2.9797
909;2.433333333;0.03;0.08;17926;3.1015
911;3.244444444;0.03;0.08;20218;3.881
912;3.447222222;0.03;0.08;20291;3.9132
913;1.013888889;0.035;0.08;11025;1.3532
914;1.216666667;0.035;0.08;13069;1.7769
915;1.419444444;0.035;0.08;14705;2.1461
916;1.622222222;0.035;0.08;15772;2.4303
917;1.825;0.035;0.08;16718;2.7145
918;1.925;0.035;0.08;17209;2.8681
920;2.230555556;0.035;0.08;18242;3.1968
921;2.433333333;0.035;0.08;19007;3.4459
923;3.244444444;0.035;0.08;21638;4.3869
924;3.447222222;0.035;0.08;21717;4.411
