ID;DistanceFactor;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Average Space Time Yield of CO (mol/m3/s)
253;1.25;0.005;0.063;6171;0.89239
254;1.5;0.005;0.063;6419;0.97624
255;1.75;0.005;0.063;6571;1.0264
256;2;0.005;0.063;6680;1.0681
257;2.25;0.005;0.063;6759;1.105
258;2.375;0.005;0.063;6778;1.1205
259;2.5;0.005;0.063;6816;1.1418
260;2.75;0.005;0.063;6854;1.18
261;3;0.005;0.063;6872;1.2167
262;3.5;0.005;0.063;6872;1.2898
263;4;0.005;0.063;6880;1.365
264;4.25;0.005;0.063;6684;1.3552
265;1.25;0.01;0.063;9068;1.6954
266;1.5;0.01;0.063;9546;1.9139
267;1.75;0.01;0.063;9856;2.0482
268;2;0.01;0.063;10091;2.1558
269;2.25;0.01;0.063;10284;2.2471
270;2.375;0.01;0.063;10366;2.2912
271;2.5;0.01;0.063;10443;2.3268
272;2.75;0.01;0.063;10566;2.3952
273;3;0.01;0.063;10662;2.465
274;3.5;0.01;0.063;10732;2.5677
275;4;0.01;0.063;10194;2.458
276;4.25;0.01;0.063;9873;2.3838
277;1.25;0.015;0.063;11393;2.5579
278;1.5;0.015;0.063;12082;2.9323
279;1.75;0.015;0.063;12530;3.1604
280;2;0.015;0.063;12872;3.3304
281;2.25;0.015;0.063;13159;3.4775
282;2.375;0.015;0.063;13355;3.587
283;2.5;0.015;0.063;13411;3.6141
284;2.75;0.015;0.063;13620;3.7262
285;3;0.015;0.063;13795;3.8268
286;3.5;0.015;0.063;14241;4.0829
287;4;0.015;0.063;12249;3.2711
288;4.25;0.015;0.063;11871;3.1751
289;1.25;0.02;0.063;10408;2.1864
290;1.5;0.02;0.063;11558;2.7249
291;1.75;0.02;0.063;12349;3.1015
292;2;0.02;0.063;13025;3.4302
293;2.25;0.02;0.063;13487;3.6661
294;2.375;0.02;0.063;13655;3.7531
295;2.5;0.02;0.063;13674;3.762
296;2.75;0.02;0.063;13932;3.9019
297;3;0.02;0.063;14243;4.0709
298;3.5;0.02;0.063;17099;5.5067
300;4.25;0.02;0.063;13433;3.8445
301;1.25;0.025;0.063;11243;2.5161
302;1.5;0.025;0.063;12518;3.1505
303;1.75;0.025;0.063;13367;3.5684
304;2;0.025;0.063;14140;3.9684
305;2.25;0.025;0.063;14714;4.2695
306;2.375;0.025;0.063;14920;4.377
307;2.5;0.025;0.063;14985;4.4111
308;2.75;0.025;0.063;15469;4.6673
309;3;0.025;0.063;15784;4.8379
310;3.5;0.025;0.063;19383;6.704
311;4;0.025;0.063;16476;5.1878
312;4.25;0.025;0.063;14614;4.3776
313;1.25;0.03;0.063;11870;2.7912
314;1.5;0.03;0.063;13233;3.477
315;1.75;0.03;0.063;14166;3.9598
316;2;0.03;0.063;15006;4.4016
317;2.25;0.03;0.063;15711;4.7724
318;2.375;0.03;0.063;16018;4.9354
319;2.5;0.03;0.063;16200;5.032
320;2.75;0.03;0.063;16718;5.3121
321;3;0.03;0.063;17118;5.5268
322;3.5;0.03;0.063;17319;5.6369
323;4;0.03;0.063;17920;5.9047
324;4.25;0.03;0.063;15506;4.8014
325;1.25;0.035;0.063;12405;3.0424
326;1.5;0.035;0.063;13787;3.7422
327;1.75;0.035;0.063;14802;4.2815
328;2;0.035;0.063;15722;4.7673
329;2.25;0.035;0.063;16541;5.2018
330;2.375;0.035;0.063;16880;5.382
331;2.5;0.035;0.063;17117;5.5086
332;2.75;0.035;0.063;17448;5.6932
333;3;0.035;0.063;18025;6.0007
334;3.5;0.035;0.063;18375;6.179
335;4;0.035;0.063;19091;6.4865
336;4.25;0.035;0.063;16344;5.1838
