ID;Valid;Case;TubeCount;DistanceFactor;TotalMassFlow(kg/s);MassFlowPerTube (kg/s);InnerTubeRadius(m);PressureDrop(Pa);OutletTemperature(K);MeanTubeTemps(K);MaxTubeTemp(K);MinTubeTemp(K);HeatTransferBalance_Inlet/Outlet(W);HeatTransferPerAreaMean(W/m2);HeatTransferPerAreaSTD(W/m2);HeatTransferPerAreaVAR(W/m2);HeatTransferMean(W);HeatTransferSTD(W);HeatTransferVAR(W);TotalHeatTransfer(W);Total Heat Transfer averaged over all Tubes according to correlation Q(T_wall) (kW);HeatTransferPerMassFlow( W / kg/s);TotalHeatFlux by Radition (W);TotalHeatFlux by Conduction (W);HeatFluxRatio (Rad/Total);HeatFluxRatio (Cond/Total);TotalHeatInHotGas(1800K to 800K);;;ResidenceTimeTOTALFlueGas (s/kg);ResidenceTimeFlueGas (s/kg);Total view factor (-);Approximated View Factor Per Tube (-);Average Yield of CO (-);Average Space Time Yield of CO (mol/m3/s);Average Space Time Yield of H2 (mol/m3/s)
1;1;a-line;5;1.25;0.025;0.005;0.063;0.053820512;1126;812;993;1;-49007;21369;1613;2601445;9801;740;547274;49005;-99.975;1960215;46297;2708;94.47%;5.53%;;;;40;200;0.969;0.1938;0.13498;2.0331;23.789
2;1;a-line;5;1.5;0.025;0.005;0.063;0.053456635;1123;813;994;2;-49495;21581;1477;2181858;9899;677;459004;49493;-101.37;1979719;46746;2747;94.45%;5.55%;"Grn zeigt ""Gut"" an.
Rot zeigt ""Schlecht"" an.";;;40;200;0.8193;0.16386;0.138;2.0786;23.991
3;1;a-line;5;1.75;0.025;0.005;0.063;0.053132117;1120;814;995;3;-49786;21712;1466;2148957;9958;672;452085;49792;-102.44;1991693;47039;2753;94.47%;5.53%;;;;40;200;0.7087;0.14174;0.1397;2.1042;24.105
4;1;a-line;5;2;0.025;0.005;0.063;0.052722707;1118;815;996;4;-50050;21828;1507;2269926;10012;691;477534;50060;-103.29;2002389;47314;2746;94.52%;5.48%;;;;40;200;0.6238;0.12476;0.14114;2.1259;24.201
5;1;a-line;5;2.25;0.025;0.005;0.063;0.052369098;1116;816;997;5;-50306;21935;1580;2495249;10061;725;524933;50305;-104.25;2012186;47562;2742;94.55%;5.45%;;;;40;200;0.5568;0.11136;0.1424;2.1449;24.286
6;1;a-line;5;2.375;0.025;0.005;0.063;0.052165369;1115;817;998;6;-50413;21982;1620;2623896;10082;743;551997;50412;-104.69;2016462;47669;2742;94.56%;5.44%;;;;40;200;0.5284;0.10568;0.14293;2.1529;24.322
7;1;a-line;5;2.5;0.025;0.005;0.063;0.051890205;1115;817;999;7;-50498;22019;1670;2788040;10099;766;586529;50497;-105.08;2019871;47754;2742;94.57%;5.43%;;;;40;200;0.5027;0.10054;0.14335;2.1593;24.35
8;1;a-line;5;2.75;0.025;0.005;0.063;0.051551285;1113;818;1000;8;-50664;22092;1775;3149487;10133;814;662567;50663;-105.87;2026531;47917;2746;94.58%;5.42%;;;;40;200;0.458;0.0916;0.14416;2.1715;24.404
9;1;a-line;5;3;0.025;0.005;0.063;0.053122814;1107;813;997;9;-43402;21253;2134;4554614;9748;979;958142;48740;-106.72;1949617;46247;2494;94.88%;5.12%;;;;40;200;0.4205;0.0841;0.13443;2.0247;23.751
10;1;a-line;5;3.5;0.025;0.005;0.063;0.050863833;1109;819;1005;10;-51064;22271;2205;4861417;10215;1011;1022716;51075;-108.53;2042983;48308;2766;94.58%;5.42%;;;;40;200;0.3613;0.07226;0.14659;2.2082;24.536
11;1;a-line;5;4;0.025;0.005;0.063;0.051174599;1107;820;1007;11;-51299;22369;2398;5749483;10260;1100;1209536;51299;-110.12;2051960;48516;2783;94.58%;5.42%;;;;40;200;0.3167;0.06334;0.14779;2.2263;24.605
12;1;a-line;5;4.25;0.025;0.005;0.063;0.052427277;1108;820;1003;12;-51228;22338;2285;5222358;10246;1048;1098644;51228;-110.67;2049102;48432;2795;94.54%;5.46%;;;;40;200;0.2982;0.05964;0.14716;2.2167;24.582
13;1;a-line;5;1.25;0.05;0.01;0.063;0.180858828;1164;847;1031;13;-61872;26976;1683;2831068;12373;772;595581;61865;-106.88;1237295;58700;3165;94.88%;5.12%;;;;20;100;0.969;0.1938;0.20468;3.0858;28.002
14;1;a-line;5;1.5;0.05;0.01;0.063;0.178938073;1159;850;1032;14;-62617;27301;1421;2018387;12522;652;424614;62610;-108.3;1252210;59399;3211;94.87%;5.13%;;;;20;100;0.8193;0.16386;0.21022;3.1696;28.287
15;1;a-line;5;1.75;0.05;0.01;0.063;0.176835507;1155;851;1033;15;-63101;27512;1322;1747898;12619;606;367710;63095;-109.59;1261897;59877;3218;94.90%;5.10%;;;;20;100;0.7087;0.14174;0.2136;3.2208;28.461
16;1;a-line;5;2;0.05;0.01;0.063;0.17517731;1153;852;1035;16;-63083;27646;1324;1752906;12680;607;368766;63401;-110.62;1268010;60196;3204;94.95%;5.05%;;;;20;100;0.6238;0.12476;0.21568;3.2522;28.568
17;1;a-line;5;2.25;0.05;0.01;0.063;0.172383879;1151;853;1036;17;-63799;27817;1316;1732766;12759;604;364527;63793;-111.72;1275858;60587;3206;94.97%;5.03%;;;;20;100;0.5568;0.11136;0.21821;3.2907;28.699
18;1;a-line;5;2.375;0.05;0.01;0.063;0.17131049;1150;854;1036;18;-63944;27880;1336;1784157;12788;613;375339;63938;-112.21;1278764;60732;3206;94.99%;5.01%;;;;20;100;0.5284;0.10568;0.21914;3.3048;28.746
19;1;a-line;5;2.5;0.05;0.01;0.063;0.170265236;1149;854;1037;19;-64062;27932;1368;1870202;12811;627;393440;64057;-112.64;1281135;60849;3208;94.99%;5.01%;;;;20;100;0.5027;0.10054;0.2199;3.3162;28.785
20;1;a-line;5;2.75;0.05;0.01;0.063;0.168058271;1147;855;1038;20;-64281;28027;1453;2112342;12855;667;444380;64276;-113.56;1285515;61061;3214;95.00%;5.00%;;;;20;100;0.458;0.0916;0.22128;3.3371;28.856
21;1;a-line;5;3;0.05;0.01;0.063;0.203287731;1135;844;1030;21;-45251;26027;2172;4719339;11938;996;992794;59688;-114.52;1193758;56962;2727;95.43%;4.57%;;;;20;100;0.4205;0.0841;0.19301;2.9093;27.355
22;1;a-line;5;3.5;0.05;0.01;0.063;0.163984554;1143;857;1043;22;-64515;28240;1923;3698428;12953;882;778053;64765;-116.49;1295291;61516;3249;94.98%;5.02%;;;;20;100;0.3613;0.07226;0.22424;3.3819;29.009
23;1;a-line;5;4;0.05;0.01;0.063;0.16076362;1141;857;1046;23;-65003;28343;2162;4672121;13000;991;982889;64999;-118.1;1299973;61713;3285;94.95%;5.05%;;;;20;100;0.3167;0.06334;0.22563;3.403;29.08
24;1;a-line;5;4.25;0.05;0.01;0.063;0.164177033;1143;857;1043;24;-64842;28273;2090;4368046;12968;959;918919;64838;-118.72;1296768;61524;3315;94.89%;5.11%;;;;20;100;0.2982;0.05964;0.22467;3.3884;29.031
25;1;a-line;5;1.25;0.075;0.015;0.063;0.374779926;1201;879;1065;25;-73685;32127;1765;3114764;14735;809;655262;73677;-113.56;982359;70121;3555;95.17%;4.83%;;;;13.33333333;66.66666667;0.969;0.1938;0.27978;4.2235;31.759
26;1;a-line;5;1.5;0.075;0.015;0.063;0.369844533;1196;882;1066;26;-74674;32557;1416;2003749;14933;649;421535;74664;-114.69;995523;71072;3592;95.19%;4.81%;;;;13.33333333;66.66666667;0.8193;0.16386;0.28656;4.3263;32.104
27;1;a-line;5;1.75;0.075;0.015;0.063;0.366742291;1193;883;1067;27;-73926;32752;1293;1670851;15022;593;351504;75112;-116.04;1001488;71537;3575;95.24%;4.76%;;;;13.33333333;66.66666667;0.7087;0.14174;0.28961;4.3724;32.257
28;1;a-line;5;2;0.075;0.015;0.063;0.360655463;1190;884;1068;28;-74461;32979;1199;1437249;15126;550;302360;75632;-117.13;1008424;72062;3570;95.28%;4.72%;;;;13.33333333;66.66666667;0.6238;0.12476;0.29314;4.426;32.423
29;1;a-line;5;2.25;0.075;0.015;0.063;0.351956102;1187;886;1069;29;-76219;33233;1100;1210981;15243;505;254758;76213;-118.32;1016171;72627;3585;95.30%;4.70%;;;;13.33333333;66.66666667;0.5568;0.11136;0.29726;4.4887;32.603
