ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
337;0.005;0.04;8455;1690965
338;0.005;0.04;8511;1702269
339;0.005;0.04;8553;1710621
340;0.005;0.04;8584;1716785
341;0.005;0.04;8609;1721783
342;0.005;0.04;8620;1724000
343;0.005;0.04;8626;1725120
344;0.005;0.04;8645;1728957
345;0.005;0.04;8662;1732304
346;0.005;0.04;8694;1738862
347;0.005;0.04;8720;1744084
348;0.005;0.04;8708;1741637
349;0.01;0.04;10197;1019741
350;0.01;0.04;10272;1027168
351;0.01;0.04;10323;1032329
352;0.01;0.04;10362;1036203
353;0.01;0.04;10393;1039329
354;0.01;0.04;10406;1040621
355;0.01;0.04;10411;1041130
356;0.01;0.04;10434;1043434
357;0.01;0.04;10453;1045264
358;0.01;0.04;10489;1048888
359;0.01;0.04;10515;1051484
360;0.01;0.04;10496;1049641
361;0.015;0.04;11629;775240
362;0.015;0.04;11713;780886
363;0.015;0.04;11760;783991
364;0.015;0.04;11802;786797
365;0.015;0.04;11846;789746
366;0.015;0.04;11859;790625
367;0.015;0.04;11858;790519
368;0.015;0.04;11888;792515
369;0.015;0.04;11905;793691
370;0.015;0.04;11940;795969
371;0.015;0.04;11962;797453
372;0.015;0.04;11940;795988
373;0.02;0.04;12743;637128
374;0.02;0.04;12830;641519
375;0.02;0.04;12866;643312
376;0.02;0.04;12911;645537
377;0.02;0.04;12963;648161
378;0.02;0.04;12976;648790
379;0.02;0.04;12960;648024
380;0.02;0.04;13002;650122
381;0.02;0.04;13018;650925
382;0.02;0.04;13049;652438
383;0.02;0.04;13067;653339
384;0.02;0.04;13045;652229
385;0.025;0.04;13583;543333
386;0.025;0.04;13668;546738
387;0.025;0.04;13705;548200
388;0.025;0.04;13750;549999
389;0.025;0.04;13793;551739
390;0.025;0.04;13805;552211
391;0.025;0.04;13783;551303
392;0.025;0.04;13830;553204
393;0.025;0.04;13845;553788
394;0.025;0.04;13871;554856
395;0.025;0.04;13887;555467
396;0.025;0.04;13866;554655
397;0.03;0.04;14219;473953
398;0.03;0.04;14298;476597
399;0.03;0.04;14336;477860
400;0.03;0.04;14353;478429
401;0.03;0.04;14415;480487
402;0.03;0.04;14425;480842
403;0.03;0.04;14432;481073
404;0.03;0.04;14448;481595
405;0.03;0.04;14461;482033
406;0.03;0.04;14485;482828
407;0.03;0.04;14498;483283
408;0.03;0.04;14481;482691
409;0.035;0.04;14707;420212
410;0.035;0.04;14782;422343
411;0.035;0.04;14778;422235
412;0.035;0.04;10924;312117
413;0.035;0.04;14891;425454
414;0.035;0.04;14901;425739
415;0.035;0.04;14858;424510
416;0.035;0.04;14922;426350
417;0.035;0.04;14935;426710
418;0.035;0.04;14957;427338
419;0.035;0.04;14970;427706
420;0.035;0.04;14954;427263
