ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
1;0.005;0.063;9801;1960215
2;0.005;0.063;9899;1979719
3;0.005;0.063;9958;1991693
4;0.005;0.063;10012;2002389
5;0.005;0.063;10061;2012186
6;0.005;0.063;10082;2016462
7;0.005;0.063;10099;2019871
8;0.005;0.063;10133;2026531
9;0.005;0.063;9748;1949617
10;0.005;0.063;10215;2042983
11;0.005;0.063;10260;2051960
12;0.005;0.063;10246;2049102
13;0.01;0.063;12373;1237295
14;0.01;0.063;12522;1252210
15;0.01;0.063;12619;1261897
16;0.01;0.063;12680;1268010
17;0.01;0.063;12759;1275858
18;0.01;0.063;12788;1278764
19;0.01;0.063;12811;1281135
20;0.01;0.063;12855;1285515
21;0.01;0.063;11938;1193758
22;0.01;0.063;12953;1295291
23;0.01;0.063;13000;1299973
24;0.01;0.063;12968;1296768
25;0.015;0.063;14735;982359
26;0.015;0.063;14933;995523
27;0.015;0.063;15022;1001488
28;0.015;0.063;15126;1008424
29;0.015;0.063;15243;1016171
30;0.015;0.063;15279;1018607
31;0.015;0.063;15310;1020656
32;0.015;0.063;15365;1024325
33;0.015;0.063;13878;925223
34;0.015;0.063;15470;1031330
35;0.015;0.063;15523;1034894
36;0.015;0.063;15476;1031765
37;0.02;0.063;16840;842022
38;0.02;0.063;17085;854245
39;0.02;0.063;17166;858292
40;0.02;0.063;17288;864411
41;0.02;0.063;17467;873375
42;0.02;0.063;17513;875667
43;0.02;0.063;17551;877533
44;0.02;0.063;17618;880888
45;0.02;0.063;15354;767717
46;0.02;0.063;17733;886636
47;0.02;0.063;17801;890028
48;0.02;0.063;17745;887247
49;0.025;0.063;18712;748490
50;0.025;0.063;19001;760024
51;0.025;0.063;19075;762996
52;0.025;0.063;19229;769180
53;0.025;0.063;19450;778014
54;0.025;0.063;19504;780141
55;0.025;0.063;19549;781947
56;0.025;0.063;19629;785170
57;0.025;0.063;17329;693165
58;0.025;0.063;19766;790659
59;0.025;0.063;19843;793734
60;0.025;0.063;19785;791394
61;0.03;0.063;20380;679330
62;0.03;0.063;20708;690266
63;0.03;0.063;20812;693748
64;0.03;0.063;9363;312088
65;0.03;0.063;21219;707296
66;0.03;0.063;21280;709329
67;0.03;0.063;21331;711024
68;0.03;0.063;21423;714095
69;0.03;0.063;;
70;0.03;0.063;21636;721192
71;0.03;0.063;21672;722410
72;0.03;0.063;21615;720500
73;0.035;0.063;21869;624821
