ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
421;0.005;0.04;5552;1110392
422;0.005;0.04;5689;1137787
423;0.005;0.04;5780;1156073
424;0.005;0.04;5846;1169191
425;0.005;0.04;5894;1178811
426;0.005;0.04;5913;1182548
427;0.005;0.04;5930;1186019
428;0.005;0.04;5958;1191673
429;0.005;0.04;5981;1196291
430;0.005;0.04;6013;1202693
431;0.005;0.04;6026;1205193
432;0.005;0.04;6035;1206962
433;0.01;0.04;7860;785977
434;0.01;0.04;8112;811183
435;0.01;0.04;8282;828233
436;0.01;0.04;8407;840748
437;0.01;0.04;8502;850164
438;0.01;0.04;8539;853938
439;0.01;0.04;8574;857383
440;0.01;0.04;8632;863213
441;0.01;0.04;8680;867960
442;0.01;0.04;8745;874493
443;0.01;0.04;8772;877228
444;0.01;0.04;8785;878508
445;0.015;0.04;9583;638852
446;0.015;0.04;7569;504598
447;0.015;0.04;7862;524164
448;0.015;0.04;8081;538754
449;0.015;0.04;8251;550056
450;0.015;0.04;8356;557074
451;0.015;0.04;;
452;0.015;0.04;10637;709130
453;0.015;0.04;8701;580085
454;0.015;0.04;10802;720141
455;0.015;0.04;11031;735367
456;0.015;0.04;10879;725242
457;0.02;0.04;7822;391100
458;0.02;0.04;8291;414548
459;0.02;0.04;8650;432477
460;0.02;0.04;8906;445303
461;0.02;0.04;9091;454529
462;0.02;0.04;9186;459292
463;0.02;0.04;;
464;0.02;0.04;9486;474308
465;0.02;0.04;9650;482502
466;0.02;0.04;9943;497133
467;0.02;0.04;10072;503625
468;0.02;0.04;12417;620863
469;0.025;0.04;8323;332920
470;0.025;0.04;8862;354479
471;0.025;0.04;9222;368863
472;0.025;0.04;9511;380441
473;0.025;0.04;9690;387618
474;0.025;0.04;9804;392169
475;0.025;0.04;;
476;0.025;0.04;10118;404732
477;0.025;0.04;10306;412239
478;0.025;0.04;10674;426976
479;0.025;0.04;10687;427463
480;0.025;0.04;10688;427530
481;0.03;0.04;8759;291957
482;0.03;0.04;9347;311559
483;0.03;0.04;9674;322453
484;0.03;0.04;10015;333829
485;0.03;0.04;10152;338413
486;0.03;0.04;10256;341874
487;0.03;0.04;;
488;0.03;0.04;10576;352522
489;0.03;0.04;10645;354835
490;0.03;0.04;11193;373103
491;0.03;0.04;11159;371982
492;0.03;0.04;11044;368130
493;0.035;0.04;9174;262105
494;0.035;0.04;9663;276072
495;0.035;0.04;9982;285188
496;0.035;0.04;10350;295707
497;0.035;0.04;10501;300023
498;0.035;0.04;10616;303307
499;0.035;0.04;;
500;0.035;0.04;10836;309606
501;0.035;0.04;11018;314791
502;0.035;0.04;11547;329902
503;0.035;0.04;11559;330269
504;0.035;0.04;11441;326889
