ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
505;0.005;0.04;5446;1089129
506;0.005;0.04;5607;1121348
507;0.005;0.04;5712;1142353
508;0.005;0.04;5784;1156770
509;0.005;0.04;5792;1158371
510;0.005;0.04;5854;1170815
511;0.005;0.04;5872;1174391
512;0.005;0.04;5901;1180220
513;0.005;0.04;5925;1184912
514;0.005;0.04;5959;1191796
515;0.005;0.04;5968;1193672
516;0.005;0.04;5961;1192188
517;0.01;0.04;7765;776534
518;0.01;0.04;8059;805869
519;0.01;0.04;8252;825153
520;0.01;0.04;8387;838715
521;0.01;0.04;8456;845603
522;0.01;0.04;8524;852413
523;0.01;0.04;8559;855925
524;0.01;0.04;8620;862038
525;0.01;0.04;8669;866932
526;0.01;0.04;8741;874116
527;0.01;0.04;8768;876829
528;0.01;0.04;8763;876316
529;0.015;0.04;7049;469936
530;0.015;0.04;7592;506133
531;0.015;0.04;7957;530449
532;0.015;0.04;8192;546111
533;0.015;0.04;8365;557639
534;0.015;0.04;8442;562776
535;0.015;0.04;8520;567980
536;0.015;0.04;8634;575598
537;0.015;0.04;10712;714120
538;0.015;0.04;10817;721152
539;0.015;0.04;10873;724856
540;0.015;0.04;10883;725531
541;0.02;0.04;7727;386355
542;0.02;0.04;8341;417049
543;0.02;0.04;8779;438926
544;0.02;0.04;9020;451011
545;0.02;0.04;9274;463676
546;0.02;0.04;9330;466501
547;0.02;0.04;9402;470098
548;0.02;0.04;9530;476485
549;0.02;0.04;9760;487985
550;0.02;0.04;9968;498386
551;0.02;0.04;10072;503624
552;0.02;0.04;10203;510164
553;0.025;0.04;8218;328715
554;0.025;0.04;8932;357290
555;0.025;0.04;9369;374743
556;0.025;0.04;9621;384850
557;0.025;0.04;9937;397494
558;0.025;0.04;9930;397213
559;0.025;0.04;10007;400265
560;0.025;0.04;10191;407640
561;0.025;0.04;10396;415844
562;0.025;0.04;10708;428332
563;0.025;0.04;10777;431094
564;0.025;0.04;10941;437630
565;0.03;0.04;8663;288758
566;0.03;0.04;9347;311577
567;0.03;0.04;9876;329199
568;0.03;0.04;10152;338384
569;0.03;0.04;10440;348004
570;0.03;0.04;10346;344851
571;0.03;0.04;10457;348567
572;0.03;0.04;10653;355086
573;0.03;0.04;10884;362809
574;0.03;0.04;11189;372967
575;0.03;0.04;11370;379006
576;0.03;0.04;11389;379618
577;0.035;0.04;8976;256447
578;0.035;0.04;9648;275665
579;0.035;0.04;10180;290866
580;0.035;0.04;10528;300790
581;0.035;0.04;10661;304599
582;0.035;0.04;10777;307926
583;0.035;0.04;10741;306877
584;0.035;0.04;10983;313803
585;0.035;0.04;11252;321486
586;0.035;0.04;11553;330099
587;0.035;0.04;11760;336003
588;0.035;0.04;11851;338604
