ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatTransferPerMassFlow( W / kg/s)
925;0.005;0.08;6050;1209930
926;0.005;0.08;6567;1313376
927;0.005;0.08;6789;1357835
928;0.005;0.08;6939;1387864
929;0.005;0.08;7049;1409774
930;0.005;0.08;7094;1418836
931;0.005;0.08;7132;1426304
932;0.005;0.08;7188;1437623
933;0.005;0.08;7215;1443026
934;0.005;0.08;7206;1441191
935;0.005;0.08;7051;1410134
936;0.005;0.08;7428;1485616
937;0.01;0.08;8330;833012
938;0.01;0.08;9843;984279
939;0.01;0.08;10286;1028563
940;0.01;0.08;10608;1060831
941;0.01;0.08;10870;1087040
942;0.01;0.08;10992;1099202
943;0.01;0.08;11099;1109940
944;0.01;0.08;11272;1127151
945;0.01;0.08;11418;1141786
946;0.01;0.08;11526;1152644
947;0.01;0.08;10847;1084723
948;0.01;0.08;10434;1043377
949;0.015;0.08;9881;658753
950;0.015;0.08;12517;834484
951;0.015;0.08;13173;878173
952;0.015;0.08;13642;909440
953;0.015;0.08;14027;935135
954;0.015;0.08;14221;948045
955;0.015;0.08;14388;959228
956;0.015;0.08;14686;979095
957;0.015;0.08;14942;996121
958;0.015;0.08;15382;1025463
959;0.015;0.08;;
960;0.015;0.08;12919;861267
961;0.02;0.08;11044;552214
962;0.02;0.08;12327;616330
963;0.02;0.08;13542;677076
964;0.02;0.08;14501;725033
965;0.02;0.08;15070;753486
966;0.02;0.08;15260;762991
967;0.02;0.08;15331;766566
968;0.02;0.08;15647;782341
969;0.02;0.08;18391;919559
970;0.02;0.08;16300;814989
971;0.02;0.08;;
972;0.02;0.08;14620;730985
973;0.025;0.08;11965;478607
974;0.025;0.08;13428;537130
975;0.025;0.08;14757;590290
976;0.025;0.08;15867;634683
977;0.025;0.08;16607;664264
978;0.025;0.08;16894;675749
979;0.025;0.08;17006;680229
980;0.025;0.08;17536;701432
981;0.025;0.08;;
982;0.025;0.08;18267;730672
983;0.025;0.08;;
984;0.025;0.08;15974;638962
985;0.03;0.08;12688;422944
986;0.03;0.08;;
987;0.03;0.08;;
988;0.03;0.08;16951;565038
989;0.03;0.08;17875;595841
990;0.03;0.08;;
991;0.03;0.08;18498;616593
992;0.03;0.08;19074;635803
993;0.03;0.08;;
994;0.03;0.08;19955;665151
995;0.03;0.08;;
996;0.03;0.08;16906;563518
997;0.035;0.08;13281;379458
998;0.035;0.08;;
999;0.035;0.08;;
1000;0.035;0.08;17839;509681
1001;0.035;0.08;18909;540264
1002;0.035;0.08;19314;551838
1003;0.035;0.08;19778;565090
1004;0.035;0.08;20508;585945
1005;0.035;0.08;;
1006;0.035;0.08;21431;612304
1007;0.035;0.08;;
1008;0.035;0.08;17940;512585
