Design#, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
1, Design 1,1,500,0.008,0.0376809,-0.0510753,-7.09E-10,40336.8,6.95911,1.23E-05,0.00138002,2.88E+06,2.84E+06,1885.71,67885.5,0.140331,0.770746,500.015,0.553949,0.952677,2284.48,0.235313,0.0194735,0.00139929,0.0355611,0.708253,0.00528778,1435.381117,228.448,-0.000212154,0.000212153
2, Design 2,1,500,0.01,0.0440732,-0.224491,1.44E-13,40447.3,6.95938,1.23E-05,0.00138646,2.88E+06,2.84E+06,1885.61,67882.1,0.1257,1.00036,500,0.556451,0.952593,2713.9,0.232682,0.020837,0.00144731,0.0431294,0.701905,0.00554003,2131.488934,339.237,-0.000331474,0.000331474
3, Design 3,1,500,0.012,0.0492854,-0.340327,-1.18E-14,40548.5,6.95962,1.23E-05,0.00139109,2.88E+06,2.84E+06,1885.62,67882.3,0.110382,1.10766,500,0.557861,0.952562,3139.19,0.230829,0.0220746,0.00141935,0.048098,0.697579,0.0054402,2958.613731,470.878,-0.000477323,0.000477323
4, Design 4,1,500,0.02,0.0642975,-1.06024,8.62E-13,40880.4,6.96042,1.23E-05,0.00140263,2.88E+06,2.84E+06,1885.43,67875.4,0.06743,1.36078,500.001,0.56186,0.952357,4767.16,0.225546,0.0258014,0.00114258,0.0624664,0.685044,0.00433558,7488.237417,1191.79,-0.00132577,0.00132577
5, Design 5,1,500,0.03,0.0761393,-2.55238,1.99E-13,41241.3,6.96129,1.23E-05,0.00141148,2.88E+06,2.84E+06,1885.48,67877.3,0.0441779,1.51727,500.001,0.565078,0.952264,6702.42,0.22143,0.0287272,0.000902983,0.0736842,0.675255,0.00336368,15792.22078,2513.41,-0.00298307,0.00298307
6, Design 6,1,500,0.04,0.083906,-4.63583,-5.82E-12,41586.7,6.96213,1.23E-05,0.0014176,2.88E+06,2.84E+06,1885.63,67882.7,0.0326836,1.60474,500.003,0.567227,0.952226,8582.05,0.218755,0.0306241,0.00075117,0.0809732,0.668896,0.00274235,26961.33665,4291.03,-0.00530367,0.00530367
7, Design 7,1,500,0.05,0.0891713,-7.00095,5.71E-11,41941.5,6.96298,1.23E-05,0.00142204,2.88E+06,2.84E+06,1885.82,67889.7,0.0257138,1.65833,500.005,0.568714,0.952206,10438.9,0.216953,0.0319088,0.000642181,0.0858893,0.664606,0.00229293,40993.44873,6524.31,-0.00828785,0.00828785
8, Design 8,1,500,0.06,0.0927201,-9.06731,3.39E-11,42321.2,6.9639,1.23E-05,0.00142534,2.89E+06,2.84E+06,1886.05,67897.8,0.0209798,1.69214,500.008,0.569747,0.952195,12293.3,0.215744,0.0327819,0.000558382,0.0891982,0.661717,0.00194525,57930.84287,9219.98,-0.011936,0.011936
9, Design 9,1,500,0.063,0.0935243,-9.51,-8.67E-13,42441.6,6.96419,1.23E-05,0.00142617,2.89E+06,2.84E+06,1886.12,67900.5,0.0198373,1.69955,500.01,0.56999,0.952193,12851.3,0.215471,0.032982,0.000536771,0.0899489,0.661061,0.00185527,63588.34858,10120.4,-0.0131599,0.0131599
10, Design 10,1,500,0.07,0.0950164,-9.86825,-2.97E-10,42736.5,6.9649,1.23E-05,0.00142787,2.89E+06,2.84E+06,1886.31,67907.1,0.0175314,1.71308,500.018,0.570458,0.952188,14158.9,0.214964,0.0333583,0.000491359,0.0913454,0.659841,0.00166577,77843.01109,12389.1,-0.0162484,0.0162484
11, Design 11,1,500,0.08,0.0963708,-7.98427,7.00E-10,43195.9,6.96601,1.23E-05,0.00142985,2.89E+06,2.84E+06,1886.6,67917.5,0.0148987,1.72508,500.053,0.570952,0.952183,16044.3,0.214505,0.0337132,0.00043643,0.092624,0.658721,0.0014358,100809.31,16044.3,-0.0212258,0.0212258
12, Design 12,1,550,0.008,0.0383365,-0.270095,4.08E-10,44480.5,6.96911,1.23E-05,0.00138202,2.89E+06,2.84E+06,1888.42,67983,0.0533445,0.775554,549.974,0.610233,0.952677,1994.12,0.23513,0.0204367,0.000601752,0.0367531,0.707078,0.00204504,1252.942548,199.412,-0.000212458,0.000212459
13, Design 13,1,550,0.01,0.0446212,-0.231194,-3.45E-14,44600.7,6.9694,1.23E-05,0.00138784,2.89E+06,2.84E+06,1888.33,67979.9,0.0508851,1.01194,550.002,0.61314,0.952593,2364.69,0.232488,0.0217614,0.000650772,0.0444411,0.700659,0.00227055,1857.221612,295.586,-0.000331951,0.000331951
14, Design 14,1,550,0.012,0.0497415,-0.349663,4.61E-14,44707.8,6.96966,1.23E-05,0.00139188,2.89E+06,2.84E+06,1888.34,67980.2,0.0439269,1.11631,550.003,0.614668,0.952562,2730.75,0.230669,0.0229714,0.000628349,0.049316,0.696416,0.00218499,2573.6681,409.612,-0.000478012,0.000478012
15, Design 15,1,550,0.02,0.0645944,-1.08046,1.11E-12,45052.7,6.97049,1.23E-05,0.00140227,2.89E+06,2.84E+06,1888.16,67973.6,0.0230425,1.36499,550.007,0.619034,0.952357,4121.52,0.225443,0.0265561,0.000455836,0.0634271,0.684118,0.00148842,6474.068477,1030.38,-0.00132769,0.00132769
16, Design 16,1,550,0.03,0.0762622,-2.58758,1.55E-12,45411.6,6.97136,1.23E-05,0.00141057,2.89E+06,2.84E+06,1888.21,67975.5,0.0134227,1.51864,550.013,0.622532,0.952264,5761.82,0.221388,0.0293163,0.000341826,0.0743561,0.674597,0.00102365,13575.95283,2160.68,-0.00298738,0.00298738
17, Design 17,1,550,0.04,0.0837468,-4.69162,4.39E-12,45737.8,6.97215,1.23E-05,0.00141647,2.89E+06,2.84E+06,1888.34,67980.4,0.00899117,1.60296,550.019,0.624818,0.952226,7351.29,0.21881,0.0310638,0.000275928,0.0813002,0.66855,0.000752982,23094.79007,3675.65,-0.0053113,0.0053113
18, Design 18,1,550,0.05,0.0886272,-7.09053,1.21E-11,46059.7,6.97292,1.23E-05,0.0014208,2.89E+06,2.84E+06,1888.52,67986.6,0.00640103,1.6529,550.028,0.626341,0.952206,8924.73,0.21714,0.0321989,0.000231025,0.0858023,0.664628,0.000567305,35047.35632,5577.96,-0.00829968,0.00829968
19, Design 19,1,550,0.06,0.0917026,-9.19462,8.91E-11,46395,6.97373,1.23E-05,0.00142406,2.89E+06,2.84E+06,1888.71,67993.7,0.00468852,1.68251,550.038,0.627335,0.952195,10504.1,0.216091,0.0329165,0.000197995,0.0886319,0.662162,0.00042995,49499.24801,7878.05,-0.0119528,0.0119528
20, Design 20,1,550,0.063,0.0923501,-9.64041,1.12E-10,46500.2,6.97399,1.23E-05,0.00142488,2.89E+06,2.84E+06,1888.78,67996,0.00428198,1.68857,550.043,0.627554,0.952193,10981.3,0.215871,0.0330686,0.000189723,0.0892275,0.661643,0.000395441,54335.7299,8647.8,-0.0131784,0.0131784
21, Design 21,1,550,0.07,0.0934545,-10.0558,2.61E-10,46756.7,6.9746,1.23E-05,0.00142657,2.89E+06,2.84E+06,1888.94,68001.7,0.00346886,1.69875,550.055,0.62795,0.952188,12104,0.215496,0.0333309,0.000172677,0.0902451,0.660756,0.00032418,66545.21559,10591,-0.0162711,0.0162711
