Design, Name, Performance, WallTemperature, tubeRadius, Conversion_CH4_outlet, Delta_Energy_Balance, Delta_Mass_Balance, Delta_p_abs, Density_inlet, Dynamic_Viscosity_inlet, Mach_Number_tube_inlet, p_abs_avg_inlet, p_abs_avg_outlet, Re_Particle_Number_inlet, Re_Tuble_Number_inlet, Selectivity_CO_outlet, Stoich_Number_outlet, T_avg_outlet, v_avg_outlet, v_inlet, Wall_Heat_Flux_avg, x_avg_CH4_outlet, x_avg_CO2_outlet, x_avg_CO_outlet, x_avg_H2_outlet, x_avg_H2O_outlet, Yield_CO_outlet,TotalHeatFlux, TotalHeatFlux(1rad), MassFlowAtInlet, MassFlowAtOutlet
3, Design 3,1,500,0.012,0.0492854,-0.340327,-1.18E-14,40548.5,6.95962,1.23E-05,0.00139109,2.88E+06,2.84E+06,1885.62,67882.3,0.110382,1.10766,500,0.557861,0.952562,3139.19,0.230829,0.0220746,0.00141935,0.048098,0.697579,0.0054402,2958.613731,470.878,-0.000477323,0.000477323
14, Design 14,1,550,0.012,0.0497415,-0.349663,4.61E-14,44707.8,6.96966,1.23E-05,0.00139188,2.89E+06,2.84E+06,1888.34,67980.2,0.0439269,1.11631,550.003,0.614668,0.952562,2730.75,0.230669,0.0229714,0.000628349,0.049316,0.696416,0.00218499,2573.6681,409.612,-0.000478012,0.000478012
25, Design 25,1,600,0.012,0.0499664,-0.360866,1.44E-13,48883.4,6.97974,1.23E-05,0.00139277,2.89E+06,2.84E+06,1891.07,68078.5,-0.00409102,1.12037,600.004,0.671587,0.952562,2312.5,0.23059,0.0236042,4.79E-05,0.0501033,0.695654,-0.000204413,2179.479903,346.875,-0.000478703,0.000478703
36, Design 36,1,650,0.012,0.0455205,-0.374905,-9.32E-13,53031.6,6.98975,1.23E-05,0.00139369,2.90E+06,2.84E+06,1893.78,68176.1,-0.00110588,1.03014,650.013,0.727028,0.952562,1917.31,0.232172,0.0225368,8.56E-05,0.045841,0.699365,-5.03E-05,1807.018962,287.596,-0.00047939,0.00047939
47, Design 47,1,700,0.012,0.0651984,-0.391214,4.20E-13,57628.8,7.00085,1.23E-05,0.00139461,2.90E+06,2.84E+06,1896.79,68284.4,0.00962822,1.37379,699.999,0.79168,0.952562,1314.96,0.225231,0.0269013,0.000248214,0.0641992,0.68342,0.000627744,1239.320603,197.244,-0.000480151,0.000480151
58, Design 58,1,750,0.012,0.103293,-0.409428,4.04E-13,62994.9,7.0138,1.23E-05,0.00139557,2.91E+06,2.84E+06,1900.3,68410.7,0.0279262,1.78438,749.998,0.865389,0.952562,543.433,0.21216,0.034896,0.000777875,0.0985517,0.653614,0.00288458,512.1738503,81.515,-0.000481039,0.000481039
69, Design 69,1,800,0.012,0.152795,-0.429445,1.92E-13,68934.2,7.02814,1.23E-05,0.00139658,2.91E+06,2.84E+06,1904.18,68550.5,0.0576468,2.08461,799.997,0.946625,0.952562,-347.072,0.195862,0.0441724,0.0021298,0.140694,0.617142,0.00880815,-327.108282,-52.0609,-0.000482023,0.000482023
80, Design 80,1,850,0.012,0.214944,-0.451061,2.35E-13,75539.9,7.04408,1.23E-05,0.00139762,2.92E+06,2.84E+06,1908.5,68706.1,0.104664,2.30121,849.995,1.03703,0.952562,-1376.1,0.176426,0.0538292,0.00514703,0.189546,0.575052,0.0224968,-1296.943695,-206.415,-0.000483116,0.000483116
91, Design 91,1,900,0.012,0.291178,-0.474444,5.47E-13,82954.1,7.06198,1.23E-05,0.00139866,2.93E+06,2.84E+06,1913.35,68880.6,0.173338,2.45836,899.993,1.13852,0.952562,-2569.27,0.154018,0.0625321,0.0110559,0.243438,0.528956,0.0504722,-2421.476786,-385.39,-0.000484343,0.000484343
102, Design 102,1,950,0.012,0.382866,-0.499782,2.50E-13,91333.9,7.0822,1.23E-05,0.00139967,2.93E+06,2.84E+06,1918.83,69077.9,0.263797,2.57363,949.99,1.25322,0.952562,-3953.57,0.128958,0.068737,0.0211915,0.30018,0.480933,0.100999,-3726.148799,-593.035,-0.000485731,0.000485731
113, Design 113,1,1000,0.012,0.489991,-0.526893,2.52E-13,100798,7.10505,1.23E-05,0.00140068,2.94E+06,2.84E+06,1925.02,69300.7,0.369631,2.65851,999.985,1.38267,0.952562,-5542.26,0.102007,0.0711934,0.0363088,0.356989,0.433502,0.181116,-5223.45699,-831.339,-0.000487298,0.000487298
124, Design 124,1,1050,0.012,0.608589,-0.556142,4.32E-13,111307,7.13041,1.23E-05,0.00140171,2.95E+06,2.84E+06,1931.89,69548.1,0.478577,2.72015,1049.98,1.52609,0.952562,-7303.46,0.0747411,0.0695835,0.0556974,0.410367,0.389611,0.291257,-6883.355168,-1095.52,-0.000489037,0.000489037
135, Design 135,1,1100,0.012,0.728177,-0.587702,-9.87E-13,122498,7.15742,1.23E-05,0.00140272,2.97E+06,2.84E+06,1939.21,69811.6,0.577081,2.76322,1099.98,1.67809,0.952562,-9127.81,0.0496388,0.0648327,0.0768162,0.45624,0.352472,0.420217,-8602.748827,-1369.17,-0.00049089,0.00049089
146, Design 146,1,1150,0.012,0.832785,-0.621834,-4.78E-13,133643,7.18433,1.23E-05,0.00140374,2.98E+06,2.84E+06,1946.5,70074,0.655986,2.79129,1149.98,1.82823,0.952562,-10836.9,0.0294124,0.0586702,0.0961675,0.490868,0.324882,0.546296,-10213.56904,-1625.54,-0.000492735,0.000492735
157, Design 157,1,1200,0.012,0.908803,-0.658528,-1.45E-13,143945,7.20919,1.23E-05,0.00140473,2.99E+06,2.84E+06,1953.24,70316.5,0.713529,2.80782,1199.98,1.96551,0.952562,-12269.8,0.0156235,0.0526633,0.111166,0.512666,0.30788,0.648458,-11564.01406,-1840.47,-0.00049444,0.00049444
168, Design 168,1,1250,0.012,0.954322,-0.697993,-3.55E-13,153046,7.23116,1.23E-05,0.00140572,3.00E+06,2.84E+06,1959.19,70530.8,0.753993,2.81648,1249.99,2.08566,0.952562,-13390.9,0.00770526,0.0475405,0.121453,0.523509,0.299792,0.719552,-12620.5945,-2008.63,-0.000495947,0.000495947
179, Design 179,1,1300,0.012,0.977854,-0.732596,-2.54E-13,161158,7.25074,1.23E-05,0.00140671,3.00E+06,2.84E+06,1964.49,70721.8,0.783434,2.82064,1299.99,2.19222,0.952562,-14282.5,0.00370629,0.043317,0.128286,0.527346,0.297345,0.766084,-13460.90771,-2142.37,-0.00049729,0.00049729
190, Design 190,1,1350,0.012,0.989171,-0.758806,-4.73E-13,168679,7.26889,1.23E-05,0.00140769,3.01E+06,2.84E+06,1969.41,70898.8,0.806374,2.82257,1350,2.29087,0.952562,-15046.6,0.00180552,0.0397789,0.133064,0.527639,0.297713,0.797641,-14181.08641,-2256.99,-0.000498535,0.000498535
201, Design 201,1,1400,0.012,0.994545,-0.789589,-1.81E-13,175910,7.28635,1.23E-05,0.0014087,3.02E+06,2.84E+06,1974.14,71069.1,0.825327,2.82345,1400,2.38568,0.952562,-15749.6,0.000907921,0.0367437,0.136685,0.526411,0.299252,0.820825,-14843.6483,-2362.44,-0.000499732,0.000499732
212, Design 212,1,1450,0.012,0.997147,-0.82593,2.56E-13,183020,7.30351,1.23E-05,0.00140971,3.03E+06,2.84E+06,1978.79,71236.5,0.841568,2.82384,1450,2.47883,0.952562,-16425.8,0.000474424,0.0340946,0.139618,0.524632,0.30118,0.839167,-15480.95178,-2463.87,-0.000500909,0.000500909
223, Design 223,1,1500,0.012,0.998449,-0.866301,1.88E-13,190093,7.32058,1.23E-05,0.00141074,3.03E+06,2.84E+06,1983.42,71403,0.85577,2.82401,1500,2.5714,0.952562,-17091.6,0.000257786,0.0317573,0.142098,0.522728,0.303159,0.854443,-16108.51633,-2563.75,-0.00050208,0.00050208
234, Design 234,1,1550,0.012,0.999125,-0.909646,-1.22E-14,197169,7.33766,1.23E-05,0.00141175,3.04E+06,2.84E+06,1988.04,71569.6,0.868334,2.82409,1550,2.6639,0.952562,-17754.8,0.000145405,0.0296805,0.144249,0.520874,0.305051,0.867574,-16733.44194,-2663.21,-0.000503251,0.000503251
245, Design 245,1,1600,0.012,0.999489,-0.95475,2.99E-12,204270,7.3548,1.23E-05,0.00141276,3.05E+06,2.84E+06,1992.69,71736.7,0.879528,2.82411,1600,2.75657,0.952562,-18418.8,8.49E-05,0.0278259,0.146145,0.519137,0.306807,0.879078,-17359.37286,-2762.83,-0.000504427,0.000504427
256, Design 256,1,1650,0.012,0.999692,-1.00248,8.99E-13,211405,7.37202,1.23E-05,0.00141376,3.05E+06,2.84E+06,1997.35,71904.7,0.889552,2.8241,1650,2.84954,0.952562,-19085.7,5.12E-05,0.0261631,0.147831,0.517538,0.308417,0.889278,-17987.87989,-2862.86,-0.000505608,0.000505608
267, Design 267,1,1700,0.012,0.999809,-1.05372,7.61E-12,218582,7.38935,1.23E-05,0.00141475,3.06E+06,2.84E+06,2002.05,72073.7,0.898565,2.82406,1700,2.94288,0.952562,-19756.5,3.18E-05,0.0246672,0.149341,0.516076,0.309884,0.898393,-18620.09399,-2963.48,-0.000506796,0.000506796
