ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
337;0.005;0.04;8455;95.46%
338;0.005;0.04;8511;95.52%
339;0.005;0.04;8553;95.55%
340;0.005;0.04;8584;95.56%
341;0.005;0.04;8609;95.56%
342;0.005;0.04;8620;95.56%
343;0.005;0.04;8626;95.55%
344;0.005;0.04;8645;95.55%
345;0.005;0.04;8662;95.55%
346;0.005;0.04;8694;95.55%
347;0.005;0.04;8720;95.53%
348;0.005;0.04;8708;95.51%
349;0.01;0.04;10197;95.88%
350;0.01;0.04;10272;95.94%
351;0.01;0.04;10323;95.97%
352;0.01;0.04;10362;95.98%
353;0.01;0.04;10393;95.98%
354;0.01;0.04;10406;95.97%
355;0.01;0.04;10411;95.97%
356;0.01;0.04;10434;95.96%
357;0.01;0.04;10453;95.95%
358;0.01;0.04;10489;95.93%
359;0.01;0.04;10515;95.90%
360;0.01;0.04;10496;95.84%
361;0.015;0.04;11629;96.21%
362;0.015;0.04;11713;96.27%
363;0.015;0.04;11760;96.32%
364;0.015;0.04;11802;96.33%
365;0.015;0.04;11846;96.30%
366;0.015;0.04;11859;96.30%
367;0.015;0.04;11858;96.30%
368;0.015;0.04;11888;96.28%
369;0.015;0.04;11905;96.26%
370;0.015;0.04;11940;96.23%
371;0.015;0.04;11962;96.18%
372;0.015;0.04;11940;96.11%
373;0.02;0.04;12743;96.48%
374;0.02;0.04;12830;96.52%
375;0.02;0.04;12866;96.60%
376;0.02;0.04;12911;96.62%
377;0.02;0.04;12963;96.55%
378;0.02;0.04;12976;96.54%
379;0.02;0.04;12960;96.57%
380;0.02;0.04;13002;96.53%
381;0.02;0.04;13018;96.51%
382;0.02;0.04;13049;96.46%
383;0.02;0.04;13067;96.40%
384;0.02;0.04;13045;96.32%
385;0.025;0.04;13583;96.69%
386;0.025;0.04;13668;96.72%
387;0.025;0.04;13705;96.86%
388;0.025;0.04;13750;96.88%
389;0.025;0.04;13793;96.74%
390;0.025;0.04;13805;96.73%
391;0.025;0.04;13783;96.86%
392;0.025;0.04;13830;96.71%
393;0.025;0.04;13845;96.69%
394;0.025;0.04;13871;96.65%
395;0.025;0.04;13887;96.57%
396;0.025;0.04;13866;96.49%
397;0.03;0.04;14219;96.86%
398;0.03;0.04;14298;96.88%
399;0.03;0.04;14336;97.06%
400;0.03;0.04;14353;97.08%
401;0.03;0.04;14415;96.89%
402;0.03;0.04;14425;96.89%
403;0.03;0.04;14432;97.08%
404;0.03;0.04;14448;96.86%
405;0.03;0.04;14461;96.84%
406;0.03;0.04;14485;96.80%
407;0.03;0.04;14498;96.71%
408;0.03;0.04;14481;96.62%
409;0.035;0.04;14707;96.98%
410;0.035;0.04;14782;97.00%
411;0.035;0.04;14778;97.21%
413;0.035;0.04;14891;97.00%
414;0.035;0.04;14901;97.00%
415;0.035;0.04;14858;97.22%
416;0.035;0.04;14922;96.98%
417;0.035;0.04;14935;96.95%
418;0.035;0.04;14957;96.91%
419;0.035;0.04;14970;96.81%
420;0.035;0.04;14954;96.72%
