ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
421;0.005;0.04;5552;94.60%
422;0.005;0.04;5689;94.65%
423;0.005;0.04;5780;94.69%
424;0.005;0.04;5846;94.70%
425;0.005;0.04;5894;94.68%
426;0.005;0.04;5913;94.67%
427;0.005;0.04;5930;94.65%
428;0.005;0.04;5958;94.63%
429;0.005;0.04;5981;94.59%
430;0.005;0.04;6013;94.53%
431;0.005;0.04;6026;94.43%
432;0.005;0.04;6035;94.38%
433;0.01;0.04;7860;95.20%
434;0.01;0.04;8112;95.26%
435;0.01;0.04;8282;95.31%
436;0.01;0.04;8407;95.32%
437;0.01;0.04;8502;95.29%
438;0.01;0.04;8539;95.27%
439;0.01;0.04;8574;95.26%
440;0.01;0.04;8632;95.21%
441;0.01;0.04;8680;95.17%
442;0.01;0.04;8745;95.07%
443;0.01;0.04;8772;94.91%
444;0.01;0.04;8785;94.80%
445;0.015;0.04;9583;95.57%
446;0.015;0.04;7569;98.04%
447;0.015;0.04;7862;97.66%
448;0.015;0.04;8081;97.24%
449;0.015;0.04;8251;97.01%
450;0.015;0.04;8356;96.85%
452;0.015;0.04;10637;95.57%
453;0.015;0.04;8701;96.51%
454;0.015;0.04;10802;95.39%
455;0.015;0.04;11031;95.59%
456;0.015;0.04;10879;95.07%
457;0.02;0.04;7822;98.51%
458;0.02;0.04;8291;98.40%
459;0.02;0.04;8650;97.89%
460;0.02;0.04;8906;97.35%
461;0.02;0.04;9091;97.25%
462;0.02;0.04;9186;97.16%
464;0.02;0.04;9486;96.82%
465;0.02;0.04;9650;96.66%
466;0.02;0.04;9943;96.26%
467;0.02;0.04;10072;96.00%
468;0.02;0.04;12417;95.24%
469;0.025;0.04;8323;98.67%
470;0.025;0.04;8862;98.45%
471;0.025;0.04;9222;97.93%
472;0.025;0.04;9511;97.35%
473;0.025;0.04;9690;97.40%
474;0.025;0.04;9804;97.31%
476;0.025;0.04;10118;96.93%
477;0.025;0.04;10306;96.69%
478;0.025;0.04;10674;95.95%
479;0.025;0.04;10687;96.01%
480;0.025;0.04;10688;96.46%
481;0.03;0.04;8759;98.57%
482;0.03;0.04;9347;98.16%
483;0.03;0.04;9674;97.75%
484;0.03;0.04;10015;97.24%
485;0.03;0.04;10152;97.50%
486;0.03;0.04;10256;97.38%
488;0.03;0.04;10576;96.94%
489;0.03;0.04;10645;96.86%
490;0.03;0.04;11193;95.99%
491;0.03;0.04;11159;96.14%
492;0.03;0.04;11044;96.79%
493;0.035;0.04;9174;97.81%
494;0.035;0.04;9663;97.75%
495;0.035;0.04;9982;97.67%
496;0.035;0.04;10350;97.21%
497;0.035;0.04;10501;97.49%
498;0.035;0.04;10616;97.32%
500;0.035;0.04;10836;97.04%
501;0.035;0.04;11018;96.69%
502;0.035;0.04;11547;95.88%
503;0.035;0.04;11559;96.31%
504;0.035;0.04;11441;96.67%
