ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
505;0.005;0.04;5446;94.61%
506;0.005;0.04;5607;94.71%
507;0.005;0.04;5712;94.77%
508;0.005;0.04;5784;94.77%
509;0.005;0.04;5792;94.84%
510;0.005;0.04;5854;94.72%
511;0.005;0.04;5872;94.70%
512;0.005;0.04;5901;94.65%
513;0.005;0.04;5925;94.61%
514;0.005;0.04;5959;94.53%
515;0.005;0.04;5968;94.43%
516;0.005;0.04;5961;94.36%
517;0.01;0.04;7765;95.17%
518;0.01;0.04;8059;95.31%
519;0.01;0.04;8252;95.38%
520;0.01;0.04;8387;95.39%
521;0.01;0.04;8456;95.67%
522;0.01;0.04;8524;95.33%
523;0.01;0.04;8559;95.31%
524;0.01;0.04;8620;95.25%
525;0.01;0.04;8669;95.19%
526;0.01;0.04;8741;95.08%
527;0.01;0.04;8768;94.91%
528;0.01;0.04;8763;94.77%
529;0.015;0.04;7049;98.24%
530;0.015;0.04;7592;98.04%
531;0.015;0.04;7957;97.58%
532;0.015;0.04;8192;97.15%
533;0.015;0.04;8365;96.92%
534;0.015;0.04;8442;96.83%
535;0.015;0.04;8520;96.86%
536;0.015;0.04;8634;96.56%
537;0.015;0.04;10712;95.53%
538;0.015;0.04;10817;95.40%
539;0.015;0.04;10873;95.21%
540;0.015;0.04;10883;95.02%
541;0.02;0.04;7727;98.38%
542;0.02;0.04;8341;98.31%
543;0.02;0.04;8779;97.70%
544;0.02;0.04;9020;97.36%
545;0.02;0.04;9274;97.14%
546;0.02;0.04;9330;97.15%
547;0.02;0.04;9402;97.18%
548;0.02;0.04;9530;96.82%
549;0.02;0.04;9760;96.57%
550;0.02;0.04;9968;96.21%
551;0.02;0.04;10072;95.51%
552;0.02;0.04;10203;95.99%
553;0.025;0.04;8218;98.37%
554;0.025;0.04;8932;98.16%
555;0.025;0.04;9369;97.75%
556;0.025;0.04;9621;97.42%
557;0.025;0.04;9937;97.22%
558;0.025;0.04;9930;97.26%
559;0.025;0.04;10007;97.37%
560;0.025;0.04;10191;96.94%
561;0.025;0.04;10396;96.65%
562;0.025;0.04;10708;96.18%
563;0.025;0.04;10777;95.26%
564;0.025;0.04;10941;96.01%
565;0.03;0.04;8663;98.17%
566;0.03;0.04;9347;97.92%
567;0.03;0.04;9876;97.53%
568;0.03;0.04;10152;97.32%
569;0.03;0.04;10440;97.08%
570;0.03;0.04;10346;97.30%
571;0.03;0.04;10457;97.32%
572;0.03;0.04;10653;96.93%
573;0.03;0.04;10884;96.60%
574;0.03;0.04;11189;95.96%
575;0.03;0.04;11370;95.09%
576;0.03;0.04;11389;96.13%
577;0.035;0.04;8976;97.98%
578;0.035;0.04;9648;97.89%
579;0.035;0.04;10180;97.45%
580;0.035;0.04;10528;97.15%
581;0.035;0.04;10661;96.97%
582;0.035;0.04;10777;97.00%
583;0.035;0.04;10741;97.33%
584;0.035;0.04;10983;96.68%
585;0.035;0.04;11252;96.51%
586;0.035;0.04;11553;95.75%
587;0.035;0.04;11760;96.04%
588;0.035;0.04;11851;96.14%
