ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);HeatFluxRatio (Rad/Total)
253;0.005;0.063;6171;93.83%
254;0.005;0.063;6419;93.61%
255;0.005;0.063;6571;93.62%
256;0.005;0.063;6680;93.69%
257;0.005;0.063;6759;93.76%
258;0.005;0.063;6778;93.79%
259;0.005;0.063;6816;93.79%
260;0.005;0.063;6854;93.79%
261;0.005;0.063;6872;93.75%
262;0.005;0.063;6872;93.52%
263;0.005;0.063;6880;92.81%
264;0.005;0.063;6684;92.83%
265;0.01;0.063;9068;94.17%
266;0.01;0.063;9546;94.01%
267;0.01;0.063;9856;94.04%
268;0.01;0.063;10091;94.13%
269;0.01;0.063;10284;94.19%
270;0.01;0.063;10366;94.29%
271;0.01;0.063;10443;94.22%
272;0.01;0.063;10566;94.18%
273;0.01;0.063;10662;94.08%
274;0.01;0.063;10732;93.56%
275;0.01;0.063;10194;92.26%
276;0.01;0.063;9873;92.31%
277;0.015;0.063;11393;94.28%
278;0.015;0.063;12082;94.23%
279;0.015;0.063;12530;94.32%
280;0.015;0.063;12872;94.40%
281;0.015;0.063;13159;94.38%
282;0.015;0.063;13355;94.67%
283;0.015;0.063;13411;94.45%
284;0.015;0.063;13620;94.43%
285;0.015;0.063;13795;94.27%
286;0.015;0.063;14241;93.41%
287;0.015;0.063;12249;92.20%
288;0.015;0.063;11871;92.06%
289;0.02;0.063;10408;95.58%
290;0.02;0.063;11558;95.64%
291;0.02;0.063;12349;95.66%
292;0.02;0.063;13025;95.60%
293;0.02;0.063;13487;95.45%
294;0.02;0.063;13655;95.43%
295;0.02;0.063;13674;95.25%
296;0.02;0.063;13932;93.82%
297;0.02;0.063;14243;93.20%
298;0.02;0.063;17099;93.39%
300;0.02;0.063;13433;92.30%
301;0.025;0.063;11243;95.54%
302;0.025;0.063;12518;95.70%
303;0.025;0.063;13367;95.75%
304;0.025;0.063;14140;95.67%
305;0.025;0.063;14714;95.48%
306;0.025;0.063;14920;95.37%
307;0.025;0.063;14985;95.00%
308;0.025;0.063;15469;93.54%
309;0.025;0.063;15784;92.96%
310;0.025;0.063;19383;93.20%
311;0.025;0.063;16476;91.89%
312;0.025;0.063;14614;91.64%
313;0.03;0.063;11870;95.24%
314;0.03;0.063;13233;95.60%
315;0.03;0.063;14166;95.78%
316;0.03;0.063;15006;95.61%
317;0.03;0.063;15711;95.47%
318;0.03;0.063;16018;95.23%
319;0.03;0.063;16200;94.69%
320;0.03;0.063;16718;93.31%
321;0.03;0.063;17118;92.89%
322;0.03;0.063;17319;91.88%
323;0.03;0.063;17920;91.92%
324;0.03;0.063;15506;91.31%
325;0.035;0.063;12405;94.93%
326;0.035;0.063;13787;95.47%
327;0.035;0.063;14802;95.70%
328;0.035;0.063;15722;95.51%
329;0.035;0.063;16541;95.38%
330;0.035;0.063;16880;95.09%
331;0.035;0.063;17117;94.68%
332;0.035;0.063;17448;93.50%
333;0.035;0.063;18025;92.79%
334;0.035;0.063;18375;91.60%
335;0.035;0.063;19091;91.67%
336;0.035;0.063;16344;91.51%
