ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
673;0.005;0.08;9637;0.039513541
674;0.005;0.08;10393;0.032859955
675;0.005;0.08;10481;0.02824686
676;0.005;0.08;10538;0.024762513
677;0.005;0.08;10597;0.02203966
678;0.005;0.08;10621;0.020890169
679;0.005;0.08;10642;0.019854214
680;0.005;0.08;10684;0.018061929
681;0.005;0.08;10721;0.016565859
682;0.005;0.08;10792;0.014211397
683;0.005;0.08;10839;0.012444306
684;0.005;0.08;10825;0.011716963
685;0.01;0.08;11757;0.039513541
686;0.01;0.08;13378;0.032859955
687;0.01;0.08;13518;0.02824686
688;0.01;0.08;13595;0.024762513
689;0.01;0.08;13693;0.02203966
690;0.01;0.08;13726;0.020890169
691;0.01;0.08;13756;0.019854214
692;0.01;0.08;13814;0.018061929
693;0.01;0.08;13862;0.016565859
694;0.01;0.08;13951;0.014211397
695;0.01;0.08;13993;0.012444306
696;0.01;0.08;13957;0.011716963
697;0.015;0.08;13685;0.039513541
698;0.015;0.08;16154;0.032859955
699;0.015;0.08;16347;0.02824686
700;0.015;0.08;16434;0.024762513
701;0.015;0.08;16584;0.02203966
702;0.015;0.08;16630;0.020890169
703;0.015;0.08;16669;0.019854214
704;0.015;0.08;16746;0.018061929
705;0.015;0.08;16810;0.016565859
706;0.015;0.08;16919;0.014211397
707;0.015;0.08;16961;0.012444306
708;0.015;0.08;16907;0.011716963
709;0.02;0.08;15360;0.039513541
710;0.02;0.08;18660;0.032859955
711;0.02;0.08;18904;0.02824686
712;0.02;0.08;19011;0.024762513
713;0.02;0.08;19208;0.02203966
714;0.02;0.08;19265;0.020890169
715;0.02;0.08;19319;0.019854214
716;0.02;0.08;19417;0.018061929
717;0.02;0.08;19499;0.016565859
718;0.02;0.08;19637;0.014211397
719;0.02;0.08;19690;0.012444306
720;0.02;0.08;19627;0.011716963
721;0.025;0.08;16790;0.039513541
722;0.025;0.08;20921;0.032859955
723;0.025;0.08;21215;0.02824686
725;0.025;0.08;21586;0.02203966
726;0.025;0.08;21654;0.020890169
727;0.025;0.08;21719;0.019854214
728;0.025;0.08;21840;0.018061929
729;0.025;0.08;21942;0.016565859
730;0.025;0.08;22114;0.014211397
731;0.025;0.08;22186;0.012444306
732;0.025;0.08;22122;0.011716963
733;0.03;0.08;17890;0.039513541
734;0.03;0.08;22981;0.032859955
735;0.03;0.08;23315;0.02824686
737;0.03;0.08;23749;0.02203966
738;0.03;0.08;23827;0.020890169
739;0.03;0.08;23904;0.019854214
740;0.03;0.08;24045;0.018061929
741;0.03;0.08;24165;0.016565859
742;0.03;0.08;24373;0.014211397
743;0.03;0.08;24470;0.012444306
744;0.03;0.08;24411;0.011716963
745;0.035;0.08;18762;0.039513541
746;0.035;0.08;24857;0.032859955
747;0.035;0.08;25234;0.02824686
748;0.035;0.08;12278;0.024762513
749;0.035;0.08;25724;0.02203966
750;0.035;0.08;25811;0.020890169
751;0.035;0.08;25903;0.019854214
752;0.035;0.08;26061;0.018061929
753;0.035;0.08;26199;0.016565859
754;0.035;0.08;26440;0.014211397
755;0.035;0.08;26563;0.012444306
756;0.035;0.08;26512;0.011716963
