ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
85;0.005;0.063;5947;0.575507143
86;0.005;0.063;6240;0.530257143
87;0.005;0.063;6406;0.481935714
88;0.005;0.063;6526;0.439464286
89;0.005;0.063;6620;0.401021429
90;0.005;0.063;6660;0.382642857
91;0.005;0.063;6696;0.365142857
92;0.005;0.063;6758;0.334142857
93;0.005;0.063;6809;0.307878571
94;0.005;0.063;6879;0.265435714
95;0.005;0.063;6907;0.232778571
98;0.01;0.063;9183;0.530257143
99;0.01;0.063;9502;0.481935714
100;0.01;0.063;9738;0.439464286
101;0.01;0.063;9929;0.401021429
102;0.01;0.063;10012;0.382642857
103;0.01;0.063;10088;0.365142857
104;0.01;0.063;10227;0.334142857
105;0.01;0.063;10347;0.307878571
106;0.01;0.063;10527;0.265435714
107;0.01;0.063;10636;0.232778571
108;0.01;0.063;10212;0.219221429
110;0.015;0.063;11558;0.530257143
111;0.015;0.063;12019;0.481935714
112;0.015;0.063;12358;0.439464286
113;0.015;0.063;12629;0.401021429
114;0.015;0.063;12748;0.382642857
115;0.015;0.063;12861;0.365142857
116;0.015;0.063;13065;0.334142857
117;0.015;0.063;13245;0.307878571
118;0.015;0.063;13531;0.265435714
119;0.015;0.063;13916;0.232778571
120;0.015;0.063;12843;0.219221429
132;0.02;0.063;14899;0.219221429
140;0.025;0.063;14449;0.334142857
142;0.025;0.063;15318;0.265435714
143;0.025;0.063;15793;0.232778571
144;0.025;0.063;19583;0.219221429
145;0.03;0.063;10785;0.575507143
146;0.03;0.063;12331;0.530257143
147;0.03;0.063;13285;0.481935714
148;0.03;0.063;13880;0.439464286
149;0.03;0.063;14397;0.401021429
150;0.03;0.063;14675;0.382642857
151;0.03;0.063;14882;0.365142857
152;0.03;0.063;15348;0.334142857
153;0.03;0.063;15795;0.307878571
154;0.03;0.063;16439;0.265435714
155;0.03;0.063;16890;0.232778571
156;0.03;0.063;16979;0.219221429
157;0.035;0.063;11177;0.575507143
158;0.035;0.063;12846;0.530257143
159;0.035;0.063;13850;0.481935714
160;0.035;0.063;14385;0.439464286
161;0.035;0.063;15045;0.401021429
162;0.035;0.063;15378;0.382642857
163;0.035;0.063;15602;0.365142857
164;0.035;0.063;16098;0.334142857
165;0.035;0.063;16506;0.307878571
166;0.035;0.063;17313;0.265435714
167;0.035;0.063;17786;0.232778571
168;0.035;0.063;17976;0.219221429
