ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
841;0.005;0.08;5321;0.446837486
842;0.005;0.08;6165;0.38258442
843;0.005;0.08;6397;0.330669927
844;0.005;0.08;6610;0.290337876
845;0.005;0.08;6756;0.25853857
846;0.005;0.08;6818;0.245070101
847;0.005;0.08;6864;0.232919236
848;0.005;0.08;6974;0.211883626
849;0.005;0.08;7058;0.194322697
850;0.005;0.08;7183;0.166697921
851;0.005;0.08;7232;0.145978113
852;0.005;0.08;7227;0.137452216
853;0.01;0.08;7213;0.446837486
854;0.01;0.08;9148;0.38258442
855;0.01;0.08;8979;0.330669927
856;0.01;0.08;10008;0.290337876
857;0.01;0.08;10290;0.25853857
858;0.01;0.08;10415;0.245070101
860;0.01;0.08;10740;0.211883626
861;0.01;0.08;10673;0.194322697
862;0.01;0.08;11227;0.166697921
863;0.01;0.08;11419;0.145978113
864;0.01;0.08;11482;0.137452216
865;0.015;0.08;8420;0.446837486
866;0.015;0.08;11554;0.38258442
867;0.015;0.08;10714;0.330669927
868;0.015;0.08;11516;0.290337876
869;0.015;0.08;13208;0.25853857
870;0.015;0.08;12438;0.245070101
872;0.015;0.08;13862;0.211883626
873;0.015;0.08;13315;0.194322697
874;0.015;0.08;14595;0.166697921
875;0.015;0.08;14930;0.145978113
876;0.015;0.08;15081;0.137452216
877;0.02;0.08;9344;0.446837486
878;0.02;0.08;10821;0.38258442
879;0.02;0.08;12090;0.330669927
880;0.02;0.08;13026;0.290337876
881;0.02;0.08;13783;0.25853857
882;0.02;0.08;14128;0.245070101
883;0.02;0.08;14453;0.232919236
884;0.02;0.08;14976;0.211883626
885;0.02;0.08;15292;0.194322697
886;0.02;0.08;18196;0.166697921
887;0.02;0.08;18829;0.145978113
888;0.02;0.08;16626;0.137452216
889;0.025;0.08;10040;0.446837486
890;0.025;0.08;11724;0.38258442
891;0.025;0.08;13150;0.330669927
892;0.025;0.08;14166;0.290337876
893;0.025;0.08;15011;0.25853857
894;0.025;0.08;15414;0.245070101
896;0.025;0.08;16439;0.211883626
897;0.025;0.08;16763;0.194322697
899;0.025;0.08;18592;0.145978113
900;0.025;0.08;18640;0.137452216
901;0.03;0.08;10606;0.446837486
902;0.03;0.08;12461;0.38258442
903;0.03;0.08;14032;0.330669927
904;0.03;0.08;15088;0.290337876
905;0.03;0.08;15965;0.25853857
906;0.03;0.08;16417;0.245070101
908;0.03;0.08;17543;0.211883626
909;0.03;0.08;17926;0.194322697
911;0.03;0.08;20218;0.145978113
912;0.03;0.08;20291;0.137452216
913;0.035;0.08;11025;0.446837486
914;0.035;0.08;13069;0.38258442
915;0.035;0.08;14705;0.330669927
916;0.035;0.08;15772;0.290337876
917;0.035;0.08;16718;0.25853857
918;0.035;0.08;17209;0.245070101
920;0.035;0.08;18242;0.211883626
921;0.035;0.08;19007;0.194322697
923;0.035;0.08;21638;0.145978113
924;0.035;0.08;21717;0.137452216
