ID;MassFlowPerTube (kg/s);InnerTubeRadius(m);HeatTransferMean(W);Approximated View Factor Per Tube (-)
925;0.005;0.08;6050;0.326509006
926;0.005;0.08;6567;0.27582857
927;0.005;0.08;6789;0.237501888
928;0.005;0.08;6939;0.208293345
929;0.005;0.08;7049;0.185388137
930;0.005;0.08;7094;0.175703979
931;0.005;0.08;7132;0.166972794
932;0.005;0.08;7188;0.151865614
933;0.005;0.08;7215;0.139258576
934;0.005;0.08;7206;0.119430662
935;0.005;0.08;7051;0.104561068
936;0.005;0.08;7428;0.098443671
937;0.01;0.08;8330;0.326509006
938;0.01;0.08;9843;0.27582857
939;0.01;0.08;10286;0.237501888
940;0.01;0.08;10608;0.208293345
941;0.01;0.08;10870;0.185388137
942;0.01;0.08;10992;0.175703979
943;0.01;0.08;11099;0.166972794
944;0.01;0.08;11272;0.151865614
945;0.01;0.08;11418;0.139258576
946;0.01;0.08;11526;0.119430662
947;0.01;0.08;10847;0.104561068
948;0.01;0.08;10434;0.098443671
949;0.015;0.08;9881;0.326509006
950;0.015;0.08;12517;0.27582857
951;0.015;0.08;13173;0.237501888
952;0.015;0.08;13642;0.208293345
953;0.015;0.08;14027;0.185388137
954;0.015;0.08;14221;0.175703979
955;0.015;0.08;14388;0.166972794
956;0.015;0.08;14686;0.151865614
957;0.015;0.08;14942;0.139258576
958;0.015;0.08;15382;0.119430662
960;0.015;0.08;12919;0.098443671
961;0.02;0.08;11044;0.326509006
962;0.02;0.08;12327;0.27582857
963;0.02;0.08;13542;0.237501888
964;0.02;0.08;14501;0.208293345
965;0.02;0.08;15070;0.185388137
966;0.02;0.08;15260;0.175703979
967;0.02;0.08;15331;0.166972794
968;0.02;0.08;15647;0.151865614
969;0.02;0.08;18391;0.139258576
970;0.02;0.08;16300;0.119430662
972;0.02;0.08;14620;0.098443671
973;0.025;0.08;11965;0.326509006
974;0.025;0.08;13428;0.27582857
975;0.025;0.08;14757;0.237501888
976;0.025;0.08;15867;0.208293345
977;0.025;0.08;16607;0.185388137
978;0.025;0.08;16894;0.175703979
979;0.025;0.08;17006;0.166972794
980;0.025;0.08;17536;0.151865614
982;0.025;0.08;18267;0.119430662
984;0.025;0.08;15974;0.098443671
985;0.03;0.08;12688;0.326509006
988;0.03;0.08;16951;0.208293345
989;0.03;0.08;17875;0.185388137
991;0.03;0.08;18498;0.166972794
992;0.03;0.08;19074;0.151865614
994;0.03;0.08;19955;0.119430662
996;0.03;0.08;16906;0.098443671
997;0.035;0.08;13281;0.326509006
1000;0.035;0.08;17839;0.208293345
1001;0.035;0.08;18909;0.185388137
1002;0.035;0.08;19314;0.175703979
1003;0.035;0.08;19778;0.166972794
1004;0.035;0.08;20508;0.151865614
1006;0.035;0.08;21431;0.119430662
1008;0.035;0.08;17940;0.098443671
